2,"select objID, z, zErr, class, subClass, dered_u, dered_g, dered_r, dered_i, dered_z, modelMagErr_u,modelMagErr_g, modelMagErr_r ,modelMagErr_i ,modelMagErr_z into mydb.MyTable from specphoto"
2019-03-05 10:33:00,1
2019-03-05 10:34:00,1
