984,"SELECT objid, aperFlux7_u, aperFlux7Ivar_u, aperFlux7_g, aperFlux7Ivar_g, aperFlux7_r, aperFlux7Ivar_r, aperFlux7_i, aperFlux7Ivar_i, aperFlux7_z, aperFlux7Ivar_z FROM PhotoObj WHERE objid=#"
2019-03-05 06:57:00,1
2019-03-05 06:58:00,4
2019-03-05 06:59:00,5
2019-03-05 07:00:00,3
2019-03-05 07:01:00,4
2019-03-05 07:02:00,4
2019-03-05 07:03:00,4
2019-03-05 07:04:00,4
2019-03-05 07:05:00,2
2019-03-05 07:06:00,4
2019-03-05 07:07:00,3
2019-03-05 07:08:00,4
2019-03-05 07:09:00,4
2019-03-05 07:10:00,3
2019-03-05 07:11:00,5
2019-03-05 07:12:00,4
2019-03-05 07:13:00,4
2019-03-05 07:14:00,4
2019-03-05 07:15:00,5
2019-03-05 07:16:00,3
2019-03-05 07:17:00,1
2019-03-05 09:18:00,2
2019-03-05 09:19:00,4
2019-03-05 09:20:00,4
2019-03-05 09:21:00,4
2019-03-05 09:22:00,4
2019-03-05 09:23:00,4
2019-03-05 09:24:00,3
2019-03-05 09:25:00,4
2019-03-05 09:26:00,4
2019-03-05 09:27:00,4
2019-03-05 09:28:00,3
2019-03-05 09:29:00,4
2019-03-05 09:30:00,3
2019-03-05 09:31:00,5
2019-03-05 09:32:00,3
2019-03-05 09:33:00,4
2019-03-05 09:34:00,4
2019-03-05 09:35:00,4
2019-03-05 09:36:00,4
2019-03-05 09:37:00,5
2019-03-05 09:38:00,3
2019-03-05 09:39:00,4
2019-03-05 09:40:00,3
2019-03-05 09:41:00,3
2019-03-05 09:42:00,4
2019-03-05 09:43:00,4
2019-03-05 09:44:00,3
2019-03-05 09:45:00,4
2019-03-05 09:46:00,3
2019-03-05 09:47:00,4
2019-03-05 09:48:00,4
2019-03-05 09:49:00,4
2019-03-05 09:50:00,4
2019-03-05 09:51:00,4
2019-03-05 09:52:00,4
2019-03-05 09:53:00,4
2019-03-05 09:54:00,4
2019-03-05 09:55:00,3
2019-03-05 09:56:00,4
2019-03-05 09:57:00,3
2019-03-05 09:58:00,5
2019-03-05 09:59:00,4
2019-03-05 10:00:00,3
2019-03-05 10:01:00,4
2019-03-05 10:02:00,4
2019-03-05 10:03:00,4
2019-03-05 10:04:00,5
2019-03-05 10:05:00,3
2019-03-05 10:06:00,4
2019-03-05 10:07:00,4
2019-03-05 10:08:00,3
2019-03-05 10:09:00,4
2019-03-05 10:10:00,3
2019-03-05 10:11:00,3
2019-03-05 10:12:00,3
2019-03-05 10:13:00,3
2019-03-05 10:14:00,3
2019-03-05 10:15:00,4
2019-03-05 10:16:00,4
2019-03-05 10:17:00,3
2019-03-05 10:18:00,4
2019-03-05 10:19:00,4
2019-03-05 10:20:00,4
2019-03-05 10:21:00,3
2019-03-05 10:22:00,4
2019-03-05 10:23:00,4
2019-03-05 10:24:00,4
2019-03-05 10:25:00,4
2019-03-05 10:26:00,3
2019-03-05 10:27:00,5
2019-03-05 10:28:00,3
2019-03-05 10:29:00,4
2019-03-05 10:30:00,4
2019-03-05 10:31:00,4
2019-03-05 10:32:00,4
2019-03-05 10:33:00,4
2019-03-05 10:34:00,4
2019-03-05 10:35:00,4
2019-03-05 10:36:00,4
2019-03-05 10:37:00,4
2019-03-05 10:38:00,3
2019-03-05 10:39:00,4
2019-03-05 10:40:00,3
2019-03-05 10:41:00,4
2019-03-05 10:42:00,4
2019-03-05 10:43:00,4
2019-03-05 10:44:00,4
2019-03-05 10:45:00,4
2019-03-05 10:46:00,3
2019-03-05 10:47:00,4
2019-03-05 10:48:00,5
2019-03-05 10:49:00,3
2019-03-05 10:50:00,4
2019-03-05 10:51:00,3
2019-03-05 10:52:00,3
2019-03-05 10:53:00,2
2019-03-05 10:54:00,3
2019-03-05 10:55:00,3
2019-03-05 10:56:00,3
2019-03-05 10:57:00,3
2019-03-05 10:58:00,3
2019-03-05 10:59:00,2
2019-03-05 11:00:00,3
2019-03-05 11:01:00,3
2019-03-05 11:02:00,2
2019-03-05 11:03:00,3
2019-03-05 11:04:00,4
2019-03-05 11:05:00,3
2019-03-05 11:06:00,2
2019-03-05 11:35:00,4
2019-03-05 11:36:00,4
2019-03-05 11:37:00,4
2019-03-05 11:38:00,5
2019-03-05 11:39:00,3
2019-03-05 11:40:00,4
2019-03-05 11:41:00,4
2019-03-05 11:42:00,3
2019-03-05 11:43:00,4
2019-03-05 11:44:00,5
2019-03-05 11:45:00,4
2019-03-05 11:46:00,4
2019-03-05 11:47:00,4
2019-03-05 11:48:00,4
2019-03-05 11:49:00,4
2019-03-05 11:50:00,3
2019-03-05 11:51:00,4
2019-03-05 11:52:00,4
2019-03-05 11:53:00,3
2019-03-05 11:54:00,4
2019-03-05 11:55:00,4
2019-03-05 11:56:00,5
2019-03-05 11:57:00,4
2019-03-05 11:58:00,3
2019-03-05 11:59:00,4
2019-03-05 12:00:00,4
2019-03-05 12:01:00,4
2019-03-05 12:02:00,4
2019-03-05 12:03:00,4
2019-03-05 12:04:00,4
2019-03-05 12:05:00,3
2019-03-05 12:06:00,5
2019-03-05 12:07:00,3
2019-03-05 12:08:00,4
2019-03-05 12:09:00,4
2019-03-05 12:10:00,3
2019-03-05 12:11:00,4
2019-03-05 12:12:00,4
2019-03-05 12:13:00,3
2019-03-05 12:14:00,5
2019-03-05 12:15:00,4
2019-03-05 12:16:00,4
2019-03-05 12:17:00,5
2019-03-05 12:18:00,4
2019-03-05 12:19:00,4
2019-03-05 12:20:00,3
2019-03-05 12:21:00,4
2019-03-05 12:22:00,4
2019-03-05 12:23:00,4
2019-03-05 12:24:00,4
2019-03-05 12:25:00,3
2019-03-05 12:26:00,4
2019-03-05 12:27:00,3
2019-03-05 12:28:00,4
2019-03-05 12:29:00,4
2019-03-05 12:30:00,4
2019-03-05 12:31:00,4
2019-03-05 12:32:00,5
2019-03-05 12:33:00,3
2019-03-05 12:34:00,4
2019-03-05 12:35:00,4
2019-03-05 12:36:00,5
2019-03-05 12:37:00,3
2019-03-05 12:38:00,4
2019-03-05 12:39:00,4
2019-03-05 12:40:00,4
2019-03-05 12:41:00,3
2019-03-05 12:42:00,4
2019-03-05 12:43:00,5
2019-03-05 12:44:00,3
2019-03-05 12:45:00,4
2019-03-05 12:46:00,4
2019-03-05 12:47:00,4
2019-03-05 12:48:00,4
2019-03-05 12:49:00,4
2019-03-05 12:50:00,4
2019-03-05 12:51:00,4
2019-03-05 12:52:00,4
2019-03-05 12:53:00,4
2019-03-05 12:54:00,4
2019-03-05 12:55:00,4
2019-03-05 12:56:00,3
2019-03-05 12:57:00,4
2019-03-05 12:58:00,4
2019-03-05 12:59:00,4
2019-03-05 13:00:00,5
2019-03-05 13:01:00,4
2019-03-05 13:02:00,4
2019-03-05 13:03:00,4
2019-03-05 13:04:00,3
2019-03-05 13:05:00,4
2019-03-05 13:06:00,5
2019-03-05 13:07:00,4
2019-03-05 13:08:00,4
2019-03-05 13:09:00,4
2019-03-05 13:10:00,4
2019-03-05 13:11:00,4
2019-03-05 13:12:00,4
2019-03-05 13:13:00,3
2019-03-05 13:14:00,4
2019-03-05 13:15:00,4
2019-03-05 13:16:00,4
2019-03-05 13:17:00,4
2019-03-05 13:18:00,4
2019-03-05 13:19:00,3
2019-03-05 13:20:00,4
2019-03-05 13:21:00,4
2019-03-05 13:22:00,4
2019-03-05 13:23:00,4
2019-03-05 13:24:00,5
2019-03-05 13:25:00,3
2019-03-05 13:26:00,4
2019-03-05 13:27:00,4
2019-03-05 13:28:00,3
2019-03-05 13:29:00,4
2019-03-05 13:30:00,4
2019-03-05 13:31:00,4
2019-03-05 13:32:00,3
2019-03-05 13:33:00,4
2019-03-05 13:34:00,4
2019-03-05 13:35:00,3
2019-03-05 13:36:00,4
2019-03-05 13:37:00,4
2019-03-05 13:38:00,4
2019-03-05 13:39:00,4
2019-03-05 13:40:00,4
2019-03-05 13:41:00,4
2019-03-05 13:42:00,3
2019-03-05 13:43:00,4
2019-03-05 13:44:00,4
2019-03-05 13:45:00,4
2019-03-05 13:46:00,4
