2402,"SELECT DISTINCT p.ra, p.dec, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, s.Z, s.class FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-05 17:34:00,109
2019-03-05 17:35:00,95
2019-03-05 17:36:00,87
2019-03-05 17:37:00,90
2019-03-05 17:38:00,61
2019-03-05 17:39:00,61
2019-03-05 17:40:00,108
2019-03-05 17:41:00,146
2019-03-05 17:42:00,107
2019-03-05 17:43:00,146
2019-03-05 17:44:00,128
2019-03-05 17:45:00,105
2019-03-05 17:46:00,110
2019-03-05 17:47:00,113
2019-03-05 17:48:00,108
2019-03-05 17:49:00,63
2019-03-05 17:50:00,118
2019-03-05 17:51:00,166
2019-03-05 17:52:00,151
2019-03-05 17:53:00,64
2019-03-05 17:56:00,26
2019-03-05 17:57:00,113
2019-03-05 17:58:00,127
