31,SELECT COUNT(*)
2019-03-05 08:01:00,1
2019-03-05 12:10:00,1
2019-03-05 12:11:00,1
2019-03-05 12:16:00,1
2019-03-05 12:21:00,1
2019-03-05 12:23:00,1
2019-03-05 12:25:00,1
2019-03-05 12:26:00,1
2019-03-05 12:34:00,1
2019-03-05 12:35:00,5
2019-03-05 12:36:00,1
2019-03-05 12:37:00,2
2019-03-05 12:42:00,1
2019-03-05 12:44:00,1
2019-03-05 12:45:00,1
2019-03-05 12:49:00,1
2019-03-05 12:52:00,2
2019-03-05 12:53:00,3
2019-03-05 12:54:00,3
2019-03-05 17:13:00,1
2019-03-05 18:27:00,1
