2529,select apstar_id from apogeestar where apogeestar.dec between # and # and apogeestar.ra between # and #
2019-03-05 04:18:00,10
2019-03-05 05:34:00,1
2019-03-05 05:41:00,1
2019-03-05 05:42:00,1
2019-03-05 05:43:00,7
2019-03-05 05:45:00,61
2019-03-05 05:46:00,9
2019-03-05 05:48:00,2
2019-03-05 05:50:00,1
2019-03-05 06:05:00,1
2019-03-05 06:09:00,27
2019-03-05 06:10:00,1
2019-03-05 06:27:00,29
2019-03-05 06:28:00,2
2019-03-05 06:43:00,1
2019-03-05 06:47:00,1
2019-03-05 06:48:00,1
2019-03-05 07:44:00,30
2019-03-05 07:45:00,26
2019-03-05 07:46:00,8
2019-03-05 07:47:00,15
2019-03-05 08:21:00,1
2019-03-05 08:23:00,13
2019-03-05 09:24:00,2
2019-03-05 09:25:00,51
2019-03-05 09:33:00,89
2019-03-05 09:34:00,19
2019-03-05 09:46:00,7
2019-03-05 09:47:00,2
2019-03-05 09:55:00,13
2019-03-05 09:56:00,14
2019-03-05 09:57:00,20
2019-03-05 09:58:00,5
2019-03-05 10:02:00,38
2019-03-05 10:03:00,42
2019-03-05 10:09:00,1
2019-03-05 10:40:00,3
2019-03-05 10:47:00,1
2019-03-05 10:49:00,3
2019-03-05 10:50:00,2
2019-03-05 11:08:00,59
2019-03-05 11:17:00,17
2019-03-05 12:30:00,4
2019-03-05 14:35:00,1
2019-03-05 14:37:00,3
2019-03-05 14:38:00,1
2019-03-05 14:40:00,2
2019-03-05 14:41:00,3
2019-03-05 14:43:00,3
2019-03-05 14:47:00,1
2019-03-05 15:07:00,1
2019-03-05 15:09:00,4
2019-03-05 15:11:00,1
2019-03-05 15:14:00,1
2019-03-05 15:19:00,4
2019-03-05 15:25:00,14
2019-03-05 16:21:00,25
2019-03-05 16:22:00,5
2019-03-05 16:24:00,6
2019-03-05 16:45:00,3
2019-03-05 16:46:00,21
2019-03-05 16:47:00,23
2019-03-05 16:48:00,28
2019-03-05 16:49:00,5
2019-03-05 17:09:00,40
2019-03-05 17:10:00,46
2019-03-05 17:40:00,1
2019-03-05 17:44:00,16
2019-03-05 17:59:00,2
2019-03-05 18:02:00,6
2019-03-05 18:03:00,8
2019-03-05 18:05:00,51
2019-03-05 18:06:00,43
2019-03-05 18:07:00,92
2019-03-05 18:08:00,43
2019-03-05 18:09:00,1
2019-03-05 18:10:00,1
2019-03-05 18:13:00,1
2019-03-05 18:16:00,1
2019-03-05 18:17:00,2
2019-03-05 18:19:00,5
2019-03-05 18:20:00,6
2019-03-05 18:21:00,79
2019-03-05 18:22:00,127
2019-03-05 18:23:00,134
2019-03-05 18:24:00,80
2019-03-05 18:25:00,143
2019-03-05 18:26:00,70
2019-03-05 18:27:00,91
2019-03-05 18:28:00,45
2019-03-05 18:29:00,115
2019-03-05 18:30:00,135
2019-03-05 18:31:00,124
2019-03-05 20:05:00,40
2019-03-05 20:06:00,76
2019-03-05 20:07:00,2
2019-03-05 20:36:00,4
2019-03-05 21:12:00,103
