51,select objid from photoobj where photoobj.dec between .# and .# and photoobj.ra between # and #
2019-03-05 06:05:00,2
2019-03-05 06:08:00,8
2019-03-05 06:09:00,1
2019-03-05 07:43:00,1
2019-03-05 07:45:00,1
2019-03-05 08:12:00,4
2019-03-05 08:52:00,1
2019-03-05 10:26:00,2
2019-03-05 10:27:00,2
2019-03-05 11:08:00,1
2019-03-05 15:13:00,1
2019-03-05 16:20:00,5
2019-03-05 16:21:00,4
2019-03-05 16:24:00,2
2019-03-05 17:23:00,5
2019-03-05 17:40:00,2
2019-03-05 17:41:00,5
2019-03-05 17:42:00,4
