39,"select count(*) from star p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-03-05 03:47:00,1
2019-03-05 03:48:00,3
2019-03-05 03:49:00,3
2019-03-05 03:57:00,1
2019-03-05 03:58:00,1
2019-03-05 04:00:00,1
2019-03-05 04:01:00,2
2019-03-05 04:02:00,2
2019-03-05 04:03:00,1
2019-03-05 18:37:00,1
2019-03-05 18:39:00,1
2019-03-05 18:40:00,1
2019-03-05 18:42:00,1
2019-03-05 18:44:00,1
2019-03-05 18:45:00,1
2019-03-05 18:46:00,1
2019-03-05 18:50:00,3
2019-03-05 18:51:00,2
2019-03-05 18:52:00,3
2019-03-05 18:53:00,3
2019-03-05 18:54:00,1
2019-03-05 18:55:00,1
2019-03-05 18:57:00,1
2019-03-05 22:00:00,1
2019-03-05 22:04:00,1
2019-03-05 22:07:00,1
