58,select objid from photoprimary where photoprimary.dec between # and -.# and photoprimary.ra between # and #
2019-03-05 00:12:00,1
2019-03-05 00:13:00,1
2019-03-05 00:14:00,1
2019-03-05 00:15:00,1
2019-03-05 00:16:00,1
2019-03-05 00:17:00,1
2019-03-05 00:25:00,1
2019-03-05 00:26:00,1
2019-03-05 00:27:00,1
2019-03-05 00:28:00,1
2019-03-05 00:29:00,1
2019-03-05 00:30:00,1
2019-03-05 00:34:00,2
2019-03-05 00:36:00,3
2019-03-05 00:37:00,1
2019-03-05 00:38:00,1
2019-03-05 00:39:00,1
2019-03-05 00:40:00,3
2019-03-05 00:41:00,1
2019-03-05 02:16:00,1
2019-03-05 02:18:00,1
2019-03-05 03:57:00,1
2019-03-05 03:58:00,1
2019-03-05 03:59:00,1
2019-03-05 04:06:00,1
2019-03-05 06:06:00,4
2019-03-05 07:40:00,3
2019-03-05 09:25:00,7
2019-03-05 11:43:00,3
2019-03-05 17:11:00,1
2019-03-05 17:19:00,3
2019-03-05 17:25:00,1
2019-03-05 17:37:00,2
2019-03-05 17:38:00,1
2019-03-05 20:42:00,1
2019-03-05 20:56:00,1
2019-03-05 20:57:00,1
