181,select objid from photoobjall where photoobjall.dec between .# and .# and photoobjall.ra between # and #
2019-03-05 05:43:00,1
2019-03-05 05:45:00,8
2019-03-05 05:46:00,3
2019-03-05 05:50:00,2
2019-03-05 06:27:00,5
2019-03-05 08:52:00,1
2019-03-05 09:25:00,2
2019-03-05 09:33:00,11
2019-03-05 09:34:00,4
2019-03-05 10:49:00,6
2019-03-05 10:50:00,2
2019-03-05 10:52:00,2
2019-03-05 10:55:00,1
2019-03-05 11:04:00,2
2019-03-05 11:05:00,1
2019-03-05 11:10:00,1
2019-03-05 18:05:00,4
2019-03-05 18:06:00,12
2019-03-05 18:07:00,8
2019-03-05 18:08:00,6
2019-03-05 18:22:00,8
2019-03-05 18:23:00,5
2019-03-05 18:24:00,9
2019-03-05 18:25:00,10
2019-03-05 18:26:00,1
2019-03-05 18:27:00,1
2019-03-05 18:28:00,35
2019-03-05 18:29:00,5
2019-03-05 18:30:00,4
2019-03-05 18:31:00,13
2019-03-05 20:05:00,1
2019-03-05 20:06:00,5
2019-03-05 21:12:00,2
