11,"select yy, mm, dd, hh, mi, ss,  logID, clientIP, op, command, error, browser,  isvisible, referer, bytesOut, bytesIn, elapsed  into weblogall2#_#_#h_to_#_#h  from weblogall  where yy = #   and mm between # and #   and dd between # and #   and hh between # and #"
2019-08-20 08:32:00,1
2019-08-20 08:58:00,1
2019-08-20 09:54:00,1
2019-08-20 10:24:00,1
2019-08-20 11:49:00,1
2019-08-20 12:26:00,1
2019-08-20 12:37:00,1
2019-08-20 13:24:00,1
2019-08-20 13:46:00,1
2019-08-20 15:45:00,1
2019-08-20 16:20:00,1
