21,"select BlockLot,  Neighborhood    , Lat=GeogCenter.Lat, Long=GeogCenter.Long, Str=GeogCenter.ToString()    , IsVacant, IsDemolished, IsMCC  from RealPropertiesExtra  where IsVacant = #"
2019-08-20 11:51:00,1
2019-08-20 11:53:00,1
2019-08-20 11:54:00,1
2019-08-20 11:55:00,1
2019-08-20 11:56:00,3
2019-08-20 11:57:00,2
2019-08-20 12:04:00,2
2019-08-20 12:05:00,2
2019-08-20 12:06:00,2
2019-08-20 12:23:00,2
2019-08-20 12:24:00,1
2019-08-20 15:02:00,1
2019-08-20 15:04:00,1
2019-08-20 16:50:00,1
