48,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND # order by redshift desc"
2019-08-20 17:46:00,1
2019-08-20 18:13:00,1
2019-08-20 18:15:00,1
2019-08-20 18:17:00,1
2019-08-20 18:19:00,3
2019-08-20 18:20:00,1
2019-08-20 18:21:00,1
2019-08-20 18:22:00,1
2019-08-20 18:23:00,2
2019-08-20 18:24:00,1
2019-08-20 18:25:00,2
2019-08-20 18:26:00,2
2019-08-20 18:27:00,1
2019-08-20 18:28:00,2
2019-08-20 18:29:00,3
2019-08-20 18:30:00,1
2019-08-20 18:31:00,2
2019-08-20 18:32:00,1
2019-08-20 18:33:00,2
2019-08-20 18:36:00,2
2019-08-20 18:37:00,2
2019-08-20 18:38:00,2
2019-08-20 18:39:00,2
2019-08-20 18:40:00,2
2019-08-20 18:41:00,2
2019-08-20 18:42:00,2
2019-08-20 18:43:00,2
2019-08-20 18:44:00,1
2019-08-20 18:46:00,2
