383,"SELECT  p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-08-20 02:37:00,1
2019-08-20 04:23:00,1
2019-08-20 06:51:00,1
2019-08-20 06:52:00,1
2019-08-20 06:54:00,1
2019-08-20 07:07:00,1
2019-08-20 07:31:00,2
2019-08-20 07:41:00,1
2019-08-20 08:05:00,1
2019-08-20 08:06:00,1
2019-08-20 08:30:00,1
2019-08-20 08:34:00,1
2019-08-20 08:54:00,1
2019-08-20 09:05:00,1
2019-08-20 09:11:00,1
2019-08-20 09:39:00,1
2019-08-20 09:40:00,2
2019-08-20 09:46:00,1
2019-08-20 09:54:00,1
2019-08-20 10:29:00,1
2019-08-20 10:38:00,1
2019-08-20 11:42:00,1
2019-08-20 11:43:00,1
2019-08-20 12:56:00,1
2019-08-20 13:06:00,1
2019-08-20 13:17:00,1
2019-08-20 13:19:00,1
2019-08-20 13:31:00,1
2019-08-20 13:32:00,1
2019-08-20 13:42:00,2
2019-08-20 13:43:00,1
2019-08-20 14:02:00,1
2019-08-20 15:05:00,1
2019-08-20 15:07:00,1
2019-08-20 15:21:00,1
2019-08-20 15:25:00,1
2019-08-20 16:09:00,1
2019-08-20 16:19:00,1
2019-08-20 16:21:00,1
2019-08-20 16:22:00,2
2019-08-20 16:23:00,2
2019-08-20 16:24:00,1
2019-08-20 16:28:00,2
2019-08-20 16:29:00,2
2019-08-20 16:30:00,1
2019-08-20 17:00:00,1
2019-08-20 17:01:00,3
2019-08-20 17:02:00,2
2019-08-20 17:03:00,1
2019-08-20 17:04:00,2
2019-08-20 17:06:00,2
2019-08-20 17:07:00,2
2019-08-20 17:08:00,3
2019-08-20 17:09:00,2
2019-08-20 17:10:00,2
2019-08-20 17:12:00,1
2019-08-20 17:13:00,1
2019-08-20 17:14:00,4
2019-08-20 17:15:00,1
2019-08-20 17:16:00,2
2019-08-20 17:17:00,3
2019-08-20 17:18:00,2
2019-08-20 17:19:00,2
2019-08-20 17:20:00,2
2019-08-20 17:21:00,3
2019-08-20 17:22:00,2
2019-08-20 17:23:00,1
2019-08-20 17:24:00,2
2019-08-20 17:25:00,3
2019-08-20 17:26:00,2
2019-08-20 17:28:00,2
2019-08-20 17:29:00,2
2019-08-20 17:30:00,2
2019-08-20 17:31:00,3
2019-08-20 17:32:00,2
2019-08-20 17:33:00,3
2019-08-20 17:34:00,2
2019-08-20 17:35:00,3
2019-08-20 17:36:00,1
2019-08-20 17:37:00,2
2019-08-20 17:38:00,4
2019-08-20 17:39:00,1
2019-08-20 17:40:00,4
2019-08-20 17:41:00,2
2019-08-20 17:42:00,3
2019-08-20 17:43:00,2
2019-08-20 17:48:00,2
2019-08-20 17:49:00,2
2019-08-20 17:50:00,1
2019-08-20 17:51:00,3
2019-08-20 17:52:00,1
2019-08-20 17:53:00,2
2019-08-20 17:55:00,3
2019-08-20 17:56:00,2
2019-08-20 17:57:00,3
2019-08-20 17:59:00,3
2019-08-20 18:00:00,1
2019-08-20 18:01:00,3
2019-08-20 18:02:00,4
2019-08-20 18:03:00,2
2019-08-20 18:04:00,2
2019-08-20 18:05:00,2
2019-08-20 18:06:00,2
2019-08-20 18:07:00,2
2019-08-20 18:08:00,2
2019-08-20 18:09:00,2
2019-08-20 18:10:00,3
2019-08-20 18:11:00,3
2019-08-20 18:13:00,1
2019-08-20 18:14:00,2
2019-08-20 18:15:00,3
2019-08-20 18:16:00,1
2019-08-20 18:17:00,3
2019-08-20 18:18:00,2
2019-08-20 18:19:00,1
2019-08-20 18:20:00,1
2019-08-20 18:21:00,2
2019-08-20 18:22:00,3
2019-08-20 18:23:00,3
2019-08-20 18:24:00,1
2019-08-20 18:25:00,2
2019-08-20 18:26:00,2
2019-08-20 18:28:00,1
2019-08-20 18:39:00,1
2019-08-20 19:02:00,1
2019-08-20 19:03:00,2
2019-08-20 19:04:00,2
2019-08-20 19:06:00,2
2019-08-20 19:10:00,4
2019-08-20 19:11:00,2
2019-08-20 19:12:00,1
2019-08-20 19:13:00,2
2019-08-20 19:15:00,2
2019-08-20 19:16:00,3
2019-08-20 19:17:00,4
2019-08-20 19:18:00,2
2019-08-20 19:19:00,4
2019-08-20 19:20:00,2
2019-08-20 19:21:00,3
2019-08-20 19:22:00,3
2019-08-20 19:24:00,3
2019-08-20 19:25:00,2
