4,"select ra,dec,z into mydb.MyTable_aj from specObj  where ra BETWEEN # and # AND   dec BETWEEN # and # AND   z BETWEEN # AND # AND   class=&&& AND   zWarning=#"
2019-04-24 11:18:00,2
2019-04-24 13:32:00,2
