3,"SELECT     p.objid, p.ra, p.dec, p.cmodelmag_u, p.psfMag_u  INTO     mydb.phototest2_cmodel FROM     Galaxy as p WHERE      p.mode = # AND      p.dec >= # AND p.dec < #"
2019-04-24 12:25:00,2
2019-04-24 12:26:00,1
