2,"SELECT TOP # *, ROUND(MilliSeconds / #, #) as Minutes FROM chinook.Track WHERE MilliSeconds >= # ORDER BY MilliSeconds"
2019-04-24 10:27:00,1
2019-04-24 10:30:00,1
