28,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-04-24 01:25:00,1
2019-04-24 03:00:00,8
2019-04-24 08:30:00,1
2019-04-24 08:31:00,1
2019-04-24 10:10:00,2
2019-04-24 10:22:00,1
2019-04-24 12:28:00,1
2019-04-24 18:37:00,1
2019-04-24 18:50:00,1
2019-04-24 18:51:00,1
2019-04-24 18:52:00,1
2019-04-24 18:53:00,2
2019-04-24 18:56:00,2
2019-04-24 18:57:00,1
2019-04-24 18:58:00,1
2019-04-24 19:42:00,1
2019-04-24 19:44:00,1
2019-04-24 20:24:00,1
