11,"SELECT TOP #  S.ObjID,S.z,S.ra,S.dec,SN.sn_#, L1.ew, L2.ew,L3.ew,L1.sigma,L2.sigma,L3.sigma,L1.continuum,L2.continuum,L3.continuum,SNN2.name,SNN2.sn FROM SpecPhoto AS S  JOIN SpecLine AS L1 ON S.SpecObjID = L1.SpecObjID  JOIN SpecLine AS L2 ON S.SpecObjID = L2.SpecObjID  JOIN SpecLine AS L3 ON S.SpecObjID = L3.SpecObjID  JOIN SpecObjAll AS SN ON S.SpecObjID = SN.SpecObjID  JOIN SpecLineIndex AS SNN2 ON S.SpecObjID = SNN2.SpecObjID  WHERE L1.LineId = #  and L2.LineId = #  and L3.LineID = #  and SNN2.name = Lick_Hb"
2019-04-24 21:23:00,1
2019-04-24 21:26:00,1
2019-04-24 21:27:00,1
2019-04-24 21:28:00,1
2019-04-24 21:31:00,1
2019-04-24 21:37:00,1
2019-04-24 21:50:00,1
2019-04-24 21:51:00,1
2019-04-24 21:52:00,1
2019-04-24 22:27:00,1
2019-04-24 22:37:00,1
