1056,"select name, type from DBObjects where type=&&& and name NOT IN (&&&, &&&) order by name"
2019-04-24 10:07:00,2
2019-04-24 10:08:00,2
2019-04-24 10:10:00,2
2019-04-24 10:21:00,2
2019-04-24 10:28:00,6
2019-04-24 10:31:00,6
2019-04-24 10:32:00,2
2019-04-24 10:36:00,4
2019-04-24 10:37:00,2
2019-04-24 10:38:00,2
2019-04-24 10:41:00,2
2019-04-24 10:42:00,2
2019-04-24 10:44:00,2
2019-04-24 10:45:00,2
2019-04-24 10:52:00,5
2019-04-24 11:08:00,1
2019-04-24 11:10:00,2
2019-04-24 11:23:00,2
2019-04-24 11:24:00,4
2019-04-24 11:26:00,2
2019-04-24 11:29:00,4
2019-04-24 11:44:00,1
2019-04-24 11:45:00,3
2019-04-24 11:48:00,7
2019-04-24 11:49:00,1
2019-04-24 11:53:00,2
2019-04-24 11:56:00,2
2019-04-24 12:02:00,2
2019-04-24 12:10:00,2
2019-04-24 12:11:00,2
2019-04-24 12:17:00,2
2019-04-24 12:20:00,2
2019-04-24 12:22:00,2
2019-04-24 12:27:00,2
2019-04-24 12:45:00,2
2019-04-24 12:47:00,2
2019-04-24 12:50:00,2
2019-04-24 12:53:00,4
2019-04-24 12:56:00,2
2019-04-24 13:37:00,2
2019-04-24 13:38:00,2
2019-04-24 13:50:00,2
2019-04-24 13:56:00,2
2019-04-24 13:59:00,2
2019-04-24 14:03:00,2
2019-04-24 14:06:00,4
2019-04-24 14:08:00,2
2019-04-24 14:20:00,1
2019-04-24 14:31:00,2
2019-04-24 14:36:00,2
2019-04-24 14:40:00,2
2019-04-24 14:44:00,2
2019-04-24 14:54:00,2
2019-04-24 14:56:00,2
2019-04-24 15:02:00,1
2019-04-24 15:03:00,2
2019-04-24 15:10:00,2
2019-04-24 15:12:00,2
2019-04-24 15:24:00,2
2019-04-24 15:25:00,2
2019-04-24 15:26:00,2
2019-04-24 15:39:00,2
2019-04-24 15:49:00,2
2019-04-24 15:55:00,2
2019-04-24 15:56:00,4
2019-04-24 15:57:00,1
2019-04-24 15:59:00,2
2019-04-24 16:08:00,2
2019-04-24 16:12:00,2
2019-04-24 16:19:00,2
2019-04-24 16:31:00,4
2019-04-24 16:36:00,2
2019-04-24 16:37:00,1
2019-04-24 16:42:00,2
2019-04-24 16:48:00,2
2019-04-24 16:51:00,2
2019-04-24 16:58:00,2
2019-04-24 17:00:00,2
2019-04-24 17:02:00,2
2019-04-24 17:11:00,1
2019-04-24 17:12:00,2
2019-04-24 17:13:00,1
2019-04-24 17:20:00,2
2019-04-24 17:25:00,2
2019-04-24 17:28:00,2
2019-04-24 17:36:00,2
2019-04-24 17:40:00,2
2019-04-24 17:42:00,2
2019-04-24 17:46:00,4
2019-04-24 17:59:00,2
2019-04-24 18:02:00,4
2019-04-24 18:04:00,2
2019-04-24 18:08:00,2
2019-04-24 18:09:00,2
2019-04-24 18:11:00,2
2019-04-24 18:30:00,2
2019-04-24 18:33:00,2
2019-04-24 18:42:00,2
2019-04-24 18:47:00,2
2019-04-24 18:50:00,4
2019-04-24 19:00:00,2
2019-04-24 19:01:00,2
2019-04-24 19:05:00,2
2019-04-24 19:14:00,2
2019-04-24 19:15:00,2
2019-04-24 19:22:00,4
2019-04-24 19:33:00,2
2019-04-24 19:38:00,4
2019-04-24 19:39:00,2
2019-04-24 19:43:00,2
2019-04-24 19:46:00,4
2019-04-24 19:52:00,4
2019-04-24 20:08:00,2
2019-04-24 20:09:00,2
2019-04-24 20:14:00,2
2019-04-24 20:15:00,2
