17,"SELECT p.objID,p.ra,p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.clean,p.flags,z.z as photoz,z.zErr as photozErr,s.specObjID as specObjID,s.z as specz,s.zErr as speczErr,  dbo.fPhotoFlagsN(p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE # <= p.ra and p.ra <= # and # <= p.dec and p.dec <= #"
2019-01-01 06:03:00,1
2019-01-01 06:05:00,1
2019-01-01 06:48:00,1
2019-01-01 07:00:00,1
2019-01-01 07:03:00,1
2019-01-01 07:37:00,1
2019-01-01 07:44:00,1
2019-01-01 07:51:00,1
2019-01-01 07:55:00,1
2019-01-01 07:58:00,1
2019-01-01 08:02:00,1
2019-01-01 08:11:00,1
2019-01-01 08:15:00,1
2019-01-01 08:23:00,1
2019-01-01 08:36:00,1
2019-01-01 09:07:00,1
2019-01-01 09:11:00,1
