793,"select c.*     , n1.x as x1,n1.y as y1     , n2.x as x2,n2.y as y2     from cracks_SD1 c     ,    nodes_SD1 n1     ,    nodes_SD1 n2     where c.snapnum=#     and n1.snapnum=c.snapnum     and n1.nodeid=c.node1     and n2.snapnum=c.snapnum     and n2.nodeid=c.node2"
2019-01-20 06:54:00,6
2019-01-20 06:55:00,37
2019-01-20 06:56:00,41
2019-01-20 06:57:00,38
2019-01-20 06:58:00,40
2019-01-20 06:59:00,35
2019-01-20 07:00:00,27
2019-01-20 07:01:00,11
2019-01-20 07:02:00,5
2019-01-20 07:03:00,5
2019-01-20 07:04:00,3
2019-01-20 07:05:00,3
2019-01-20 07:06:00,2
2019-01-20 07:07:00,3
2019-01-20 07:08:00,2
2019-01-20 07:09:00,2
2019-01-20 07:10:00,2
2019-01-20 07:11:00,2
2019-01-20 07:12:00,1
2019-01-20 07:13:00,2
2019-01-20 07:14:00,2
2019-01-20 07:15:00,1
2019-01-20 07:16:00,2
2019-01-20 07:17:00,1
2019-01-20 07:18:00,2
2019-01-20 07:19:00,1
2019-01-20 07:20:00,2
2019-01-20 07:21:00,1
2019-01-20 07:22:00,1
2019-01-20 07:23:00,2
2019-01-20 07:24:00,1
2019-01-20 07:25:00,1
2019-01-20 07:26:00,2
2019-01-20 07:27:00,1
2019-01-20 07:28:00,1
2019-01-20 07:29:00,1
2019-01-20 07:30:00,1
2019-01-20 07:31:00,2
2019-01-20 07:32:00,1
2019-01-20 07:33:00,1
2019-01-20 07:34:00,1
2019-01-20 07:35:00,1
2019-01-20 07:36:00,1
2019-01-20 07:37:00,1
2019-01-20 07:38:00,2
2019-01-20 07:39:00,1
2019-01-20 07:48:00,1
2019-01-20 08:22:00,16
2019-01-20 08:23:00,42
2019-01-20 08:24:00,36
2019-01-20 08:25:00,41
2019-01-20 08:26:00,23
2019-01-20 08:33:00,12
2019-01-20 08:34:00,11
2019-01-20 08:35:00,3
2019-01-20 08:38:00,10
2019-01-20 08:39:00,35
2019-01-20 08:40:00,33
2019-01-20 08:41:00,38
2019-01-20 08:42:00,31
2019-01-20 08:43:00,31
2019-01-20 08:44:00,31
2019-01-20 08:45:00,23
2019-01-20 08:46:00,10
2019-01-20 08:47:00,6
2019-01-20 08:48:00,4
2019-01-20 08:49:00,3
2019-01-20 08:50:00,3
2019-01-20 08:51:00,2
2019-01-20 08:52:00,3
2019-01-20 08:53:00,2
2019-01-20 08:54:00,2
2019-01-20 08:55:00,2
2019-01-20 08:56:00,1
2019-01-20 08:57:00,2
2019-01-20 08:58:00,2
2019-01-20 08:59:00,1
2019-01-20 09:00:00,2
2019-01-20 09:01:00,2
2019-01-20 09:02:00,1
2019-01-20 09:03:00,2
2019-01-20 09:04:00,1
2019-01-20 09:05:00,1
2019-01-20 09:06:00,2
2019-01-20 09:07:00,1
2019-01-20 09:08:00,2
2019-01-20 09:09:00,1
2019-01-20 09:10:00,1
2019-01-20 09:11:00,1
2019-01-20 09:12:00,2
2019-01-20 09:13:00,1
2019-01-20 09:14:00,1
2019-01-20 09:15:00,1
2019-01-20 09:16:00,1
2019-01-20 09:17:00,1
2019-01-20 09:18:00,1
2019-01-20 09:19:00,2
2019-01-20 09:20:00,1
2019-01-20 09:21:00,1
2019-01-20 09:22:00,1
2019-01-20 09:23:00,1
2019-01-20 09:24:00,1
