503,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-01-20 17:50:00,43
2019-01-20 18:02:00,5
2019-01-20 18:03:00,3
2019-01-20 18:04:00,3
2019-01-20 18:05:00,6
2019-01-20 18:06:00,5
2019-01-20 18:07:00,4
2019-01-20 18:08:00,3
2019-01-20 18:09:00,5
2019-01-20 18:10:00,7
2019-01-20 18:11:00,4
2019-01-20 18:12:00,3
2019-01-20 18:13:00,3
2019-01-20 18:14:00,5
2019-01-20 18:15:00,7
2019-01-20 18:16:00,3
2019-01-20 18:17:00,3
2019-01-20 18:18:00,5
2019-01-20 18:19:00,5
2019-01-20 18:20:00,5
2019-01-20 18:21:00,4
2019-01-20 18:22:00,4
2019-01-20 18:23:00,7
2019-01-20 18:24:00,4
2019-01-20 18:25:00,4
2019-01-20 18:26:00,3
2019-01-20 18:27:00,4
2019-01-20 18:28:00,4
2019-01-20 18:29:00,4
2019-01-20 18:30:00,5
2019-01-20 18:31:00,3
2019-01-20 18:32:00,4
2019-01-20 18:33:00,4
2019-01-20 18:34:00,3
2019-01-20 18:35:00,6
2019-01-20 18:36:00,3
2019-01-20 18:37:00,5
2019-01-20 18:38:00,4
2019-01-20 18:39:00,4
2019-01-20 18:40:00,6
2019-01-20 18:41:00,4
2019-01-20 18:42:00,5
2019-01-20 18:43:00,4
2019-01-20 18:44:00,5
2019-01-20 18:45:00,5
2019-01-20 18:46:00,5
2019-01-20 18:47:00,4
2019-01-20 18:48:00,5
2019-01-20 18:49:00,5
2019-01-20 18:50:00,5
2019-01-20 18:51:00,4
2019-01-20 18:52:00,6
2019-01-20 18:53:00,6
2019-01-20 18:54:00,5
2019-01-20 18:55:00,4
2019-01-20 18:56:00,6
2019-01-20 18:57:00,6
2019-01-20 18:58:00,5
2019-01-20 18:59:00,5
2019-01-20 19:00:00,6
2019-01-20 19:01:00,6
2019-01-20 19:02:00,5
2019-01-20 19:03:00,6
2019-01-20 19:04:00,7
2019-01-20 19:05:00,5
2019-01-20 19:06:00,6
2019-01-20 19:07:00,6
2019-01-20 19:08:00,7
2019-01-20 19:09:00,4
2019-01-20 19:10:00,7
2019-01-20 19:11:00,6
2019-01-20 19:12:00,6
2019-01-20 19:13:00,6
2019-01-20 19:14:00,7
2019-01-20 19:15:00,6
2019-01-20 19:16:00,6
2019-01-20 19:17:00,7
2019-01-20 19:18:00,5
2019-01-20 19:19:00,6
2019-01-20 19:20:00,6
2019-01-20 19:21:00,7
2019-01-20 19:22:00,6
2019-01-20 19:23:00,7
2019-01-20 19:24:00,6
2019-01-20 19:25:00,6
2019-01-20 19:26:00,7
2019-01-20 19:27:00,7
2019-01-20 19:28:00,6
2019-01-20 19:29:00,7
2019-01-20 19:30:00,7
2019-01-20 19:31:00,5
