689,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and zWarning = #   and ra<#  and ra>#  and dec<#  and dec>#  and z >#  and z <#"
2019-01-20 16:28:00,6
2019-01-20 16:29:00,35
2019-01-20 16:30:00,17
2019-01-20 16:34:00,1
2019-01-20 16:35:00,2
2019-01-20 16:37:00,1
2019-01-20 16:39:00,13
2019-01-20 16:40:00,12
2019-01-20 16:42:00,13
2019-01-20 16:43:00,11
2019-01-20 16:44:00,16
2019-01-20 16:45:00,29
2019-01-20 16:46:00,7
2019-01-20 16:47:00,68
2019-01-20 16:48:00,61
2019-01-20 16:49:00,63
2019-01-20 16:50:00,64
2019-01-20 16:51:00,65
2019-01-20 16:52:00,70
2019-01-20 16:53:00,61
2019-01-20 16:54:00,63
2019-01-20 16:55:00,11
