3,"SELECT     objid,ra,dec,     psfmag_u, psfmag_g, psfmag_r, psfmag_i,     extinction_u, extinction_g, extinction_r, extinction_i FROM Star where ra between # and #     and dec between # and #"
2019-01-20 15:51:00,1
2019-01-20 15:52:00,2
