99,"SELECT p.ra,p.dec,p.raErr,p.decErr,p.objId,p.run,p.rerun,p.camcol,p.field,dbo.fPhotoModeN(mode) as mode,nChild,dbo.fPhotoTypeN(p.type) as type,clean,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,mjd,distance FROM PhotoObj as p JOIN dbo.fGetNearbyObjEq(#,#,#) AS R ON P.objID=R.objID ORDER BY distance"
2019-01-20 00:32:00,1
2019-01-20 00:49:00,1
2019-01-20 01:04:00,1
2019-01-20 01:12:00,1
2019-01-20 01:15:00,1
2019-01-20 01:16:00,1
2019-01-20 01:22:00,2
2019-01-20 01:28:00,1
2019-01-20 01:43:00,1
2019-01-20 01:48:00,1
2019-01-20 01:52:00,1
2019-01-20 02:16:00,1
2019-01-20 02:18:00,1
2019-01-20 02:20:00,1
2019-01-20 03:02:00,1
2019-01-20 03:10:00,1
2019-01-20 03:12:00,1
2019-01-20 03:31:00,1
2019-01-20 03:33:00,1
2019-01-20 03:38:00,1
2019-01-20 03:41:00,1
2019-01-20 04:46:00,1
2019-01-20 05:27:00,1
2019-01-20 05:31:00,1
2019-01-20 06:48:00,1
2019-01-20 06:49:00,1
2019-01-20 06:50:00,1
2019-01-20 07:04:00,1
2019-01-20 07:07:00,2
2019-01-20 07:08:00,1
2019-01-20 07:15:00,1
2019-01-20 07:18:00,1
2019-01-20 07:25:00,1
2019-01-20 07:29:00,1
2019-01-20 09:27:00,2
2019-01-20 09:29:00,1
2019-01-20 09:54:00,1
2019-01-20 10:06:00,1
2019-01-20 11:02:00,1
2019-01-20 11:03:00,1
2019-01-20 11:12:00,1
2019-01-20 11:18:00,1
2019-01-20 11:20:00,1
2019-01-20 11:21:00,1
2019-01-20 11:29:00,1
2019-01-20 11:32:00,1
2019-01-20 11:33:00,1
2019-01-20 11:40:00,1
2019-01-20 11:46:00,1
2019-01-20 11:53:00,1
2019-01-20 11:55:00,1
2019-01-20 11:58:00,1
2019-01-20 12:02:00,1
2019-01-20 12:04:00,1
2019-01-20 12:08:00,1
2019-01-20 12:11:00,1
2019-01-20 12:12:00,1
2019-01-20 12:16:00,1
2019-01-20 12:51:00,1
2019-01-20 13:04:00,1
2019-01-20 13:17:00,1
2019-01-20 13:52:00,1
2019-01-20 14:50:00,1
2019-01-20 15:33:00,1
2019-01-20 15:47:00,1
2019-01-20 16:07:00,1
2019-01-20 16:41:00,1
2019-01-20 17:48:00,1
2019-01-20 17:56:00,2
2019-01-20 17:57:00,1
2019-01-20 18:06:00,2
2019-01-20 18:07:00,1
2019-01-20 19:33:00,1
2019-01-20 19:34:00,1
2019-01-20 20:39:00,2
2019-01-20 20:47:00,1
2019-01-20 20:48:00,1
2019-01-20 20:49:00,2
2019-01-20 20:50:00,1
2019-01-20 20:51:00,1
2019-01-20 21:42:00,1
2019-01-20 21:48:00,1
2019-01-20 21:56:00,1
2019-01-20 22:03:00,1
2019-01-20 22:10:00,1
2019-01-20 22:33:00,1
2019-01-20 22:35:00,1
2019-01-20 22:37:00,1
2019-01-20 22:43:00,1
2019-01-20 22:48:00,1
2019-01-20 23:43:00,1
2019-01-20 23:46:00,1
