5,"SELECT TOP # G.objID,GN.distance  FROM star as G  JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN   ON G.objID = GN.objID  ORDER BY distance"
2019-07-23 16:53:00,2
2019-07-23 16:54:00,3
