29,"select top # p.objID, p.ra, p.dec, p.deVRad_r, p.u, p.r, p.extinction_r, p.extinction_u , q.z as RedShift from galaxy p, dbo.fgetNearByObjEq(#, #, #) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z>#"
2019-07-23 17:37:00,1
2019-07-23 17:39:00,1
2019-07-23 17:40:00,1
2019-07-23 17:44:00,1
2019-07-23 17:45:00,1
2019-07-23 17:46:00,1
2019-07-23 17:47:00,1
2019-07-23 17:48:00,1
2019-07-23 17:51:00,1
2019-07-23 17:53:00,2
2019-07-23 17:54:00,1
2019-07-23 17:55:00,1
2019-07-23 17:56:00,1
2019-07-23 17:58:00,1
2019-07-23 17:59:00,2
2019-07-23 18:01:00,1
2019-07-23 18:02:00,2
2019-07-23 18:03:00,1
2019-07-23 18:05:00,2
2019-07-23 18:07:00,1
2019-07-23 18:09:00,1
2019-07-23 18:11:00,1
2019-07-23 18:18:00,1
2019-07-23 18:22:00,2
