2,"SELECT  p.ra,p.dec,f.mjd_i,f.mjd_u,f.mjd_g,f.mjd_r,f.mjd_z,p.modelFlux_u,p.modelFlux_g,p.modelFlux_r,p.modelFlux_i,p.modelFlux_z, p.objID, p.modelMagErr_i,p.modelMagErr_u, p.modelMagErr_g, p.modelMagErr_r, p.modelMagErr_z FROM  photoObj p JOIN field f ON p.fieldid=f.fieldid  WHERE  f.mjd_i != #  /*AND f.mjd_i BETWEEN # AND #*/  AND p.type = #  /*AND p.psfMag_i - p.cmodelMag_i > #*/  AND p.ra BETWEEN # AND #  AND p.dec BETWEEN -.# AND -.#  AND ((p.flags & #) != #)  AND ((p.flags & #) = #)  AND ((p.flags & #) = #)  AND (((p.flags & #) = #) or (flags_r & #) = #)  AND ((p.flags & #)) = #  AND (p.flags & #) = #  AND (((p.flags & #)) = # or psfmagerr_r <= #)  AND (p.flags & #) = #   AND (flags_r & #) = #   AND ((flags_r & #) = # OR (flags_r & #) = #)  AND (flags_r & #) != #   AND (flags_r & #) = #   AND (flags_r & #) = #"
2019-12-29 17:11:00,1
2019-12-29 17:13:00,1
