699,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-12-29 02:15:00,2
2019-12-29 03:15:00,8
2019-12-29 06:15:00,2
2019-12-29 07:40:00,30
2019-12-29 07:41:00,34
2019-12-29 07:42:00,33
2019-12-29 07:43:00,36
2019-12-29 07:44:00,35
2019-12-29 07:45:00,36
2019-12-29 07:46:00,33
2019-12-29 07:47:00,32
2019-12-29 07:48:00,28
2019-12-29 11:20:00,13
2019-12-29 12:10:00,1
2019-12-29 12:13:00,17
2019-12-29 12:14:00,2
2019-12-29 13:15:00,8
2019-12-29 15:10:00,1
2019-12-29 15:13:00,11
2019-12-29 15:20:00,30
2019-12-29 15:21:00,33
2019-12-29 15:22:00,32
2019-12-29 15:23:00,36
2019-12-29 15:24:00,33
2019-12-29 15:25:00,30
2019-12-29 15:26:00,6
2019-12-29 16:05:00,4
2019-12-29 17:15:00,3
2019-12-29 17:20:00,27
2019-12-29 17:21:00,21
2019-12-29 17:25:00,1
2019-12-29 17:26:00,13
2019-12-29 17:27:00,6
2019-12-29 19:15:00,12
2019-12-29 19:20:00,4
2019-12-29 20:10:00,1
2019-12-29 20:13:00,6
2019-12-29 21:20:00,17
2019-12-29 21:25:00,1
2019-12-29 21:35:00,5
2019-12-29 22:20:00,15
2019-12-29 23:30:00,1
