53,"SELECT TOP # g.ra,g.dec,g.raErr,g.decErr,g.u,g.g,g.r,g.i,g.z, z.z as redshift,z.zErr, z.photoErrorClass,z.nnCount, g.objid FROM Galaxy AS g JOIN Photoz AS z ON z.objid = g.objid WHERE  g.ra >#and g.ra <# and g.dec ># and g.dec <# and z.z ># and z.z <# ORDER BY g.u"
2019-12-29 12:38:00,1
2019-12-29 12:40:00,2
2019-12-29 12:41:00,1
2019-12-29 12:42:00,3
2019-12-29 12:43:00,3
2019-12-29 12:44:00,1
2019-12-29 12:45:00,2
2019-12-29 12:46:00,1
2019-12-29 12:47:00,3
2019-12-29 12:48:00,2
2019-12-29 12:49:00,3
2019-12-29 12:50:00,4
2019-12-29 12:51:00,3
2019-12-29 12:52:00,2
2019-12-29 12:53:00,5
2019-12-29 12:54:00,5
2019-12-29 12:55:00,6
2019-12-29 12:56:00,2
2019-12-29 12:57:00,4
