6,"SELECT  p.ra,p.dec,f.mjd_i,f.mjd_u,f.mjd_g,f.mjd_r,f.mjd_z,p.psfMag_u,p.modelMag_g,p.modelMag_r,p.modelMag_i,p.modelMag_z, p.objID, p.modelMagErr_i,p.modelMagErr_u, p.modelMagErr_g, p.modelMagErr_r, p.modelMagErr_z FROM  photoObj p JOIN field f ON p.fieldid=f.fieldid  WHERE  f.mjd_i != #  /*AND f.mjd_i BETWEEN # AND #*/  AND p.type = #  /*AND p.psfMag_i - p.cmodelMag_i > #*/  AND p.ra BETWEEN # AND #  AND p.dec BETWEEN -.# AND -.#  AND ((p.flags & #) != #)  AND ((p.flags & #) = #)  AND ((p.flags & #) = #)  AND (((p.flags & #) = #) or (flags_r & #) = #)  AND ((p.flags & #)) = #  AND (p.flags & #) = #  AND (((p.flags & #)) = # or psfmagerr_r <= #)  AND (p.flags & #) = #   AND (flags_r & #) = #   AND ((flags_r & #) = # OR (flags_r & #) = #)  AND (flags_r & #) != #   AND (flags_r & #) = #   AND (flags_r & #) = #   ORDER BY  f.mjd_i"
2019-12-29 16:20:00,1
2019-12-29 16:48:00,1
2019-12-29 22:49:00,2
2019-12-29 23:18:00,2
