5,"SELECT TOP #  p.ra,p.u,p.g,p.r,p.i,p.z,p.dec FROM PhotoObj AS p WHERE   p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #"
2019-11-24 01:03:00,2
2019-11-24 01:04:00,1
2019-11-24 01:05:00,1
2019-11-24 01:06:00,1
