1137,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-11-24 13:32:00,51
2019-11-24 13:36:00,25
2019-11-24 13:38:00,48
2019-11-24 13:40:00,73
2019-11-24 13:41:00,62
2019-11-24 13:42:00,26
2019-11-24 13:43:00,6
2019-11-24 13:44:00,13
2019-11-24 13:46:00,102
2019-11-24 13:47:00,71
2019-11-24 13:59:00,59
2019-11-24 14:00:00,19
2019-11-24 14:01:00,48
2019-11-24 14:12:00,43
2019-11-24 14:20:00,99
2019-11-24 14:26:00,37
2019-11-24 14:46:00,8
2019-11-24 14:47:00,40
2019-11-24 14:49:00,26
2019-11-24 14:53:00,21
2019-11-24 14:57:00,5
2019-11-24 14:58:00,99
2019-11-24 15:03:00,34
2019-11-24 15:04:00,13
2019-11-24 15:07:00,92
2019-11-24 15:08:00,17
