2,"SELECT TOP #  s.dec,s.img,cast(str(s.ra,#,#) as float) as ra,s.z,p.objID,p.r,p.u,p.z  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.zWarning = # AND (s.class = &&&) AND ( p.type = # OR p.type = #)"
2019-11-24 03:18:00,1
2019-11-24 03:20:00,1
