10,"SELECT TOP # p.u,p.g,p.r,p.i,p.z FROM Galaxy AS p, dbo.fGetNearbyObjEq(#,#,#) as N  WHERE p.objID = N.objID"
2019-11-24 01:55:00,1
2019-11-24 02:22:00,3
2019-11-24 02:23:00,6
