7,"SELECT TOP #  cast(str(s.ra,#,#) as float) as ra,cast(str(s.[dec],#,#) as float) as dec,s.class,s.subClass,s.z,p.objID,p.r,p.u  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  JOIN dbo.fGetObjFromRect(#,#,#,#) AS b ON s.bestobjid = b.objID  WHERE s.zWarning = # AND ( p.type = # OR p.type = #)"
2019-11-24 15:36:00,1
2019-11-24 15:37:00,2
2019-11-24 16:13:00,1
2019-11-24 16:29:00,1
2019-11-24 16:33:00,1
2019-11-24 16:43:00,1
