14,"INSERT INTO [ASSETS] VALUES(#, &&&, &&&, &&&, #, NULL, NULL, &&&, &&&, #, NULL, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, NULL, NULL, NULL, &&&, #, #, #, NULL, #, NULL, &&&, &&&, &&&, NULL, &&&, &&&, &&&, NULL, &&&, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, #, &&&, geography::STPointFromText(&&&, #) )"
2019-11-30 11:50:00,3
2019-11-30 11:52:00,1
2019-11-30 12:02:00,1
2019-11-30 14:07:00,2
2019-11-30 14:08:00,1
2019-11-30 14:10:00,1
2019-11-30 14:44:00,2
2019-11-30 14:45:00,1
2019-11-30 14:47:00,1
2019-11-30 14:57:00,1
