1701,"select                                                                              G.objID, G.ra, G.dec,                                                       G.petroMag_u, G.petroMag_g, G.petroMag_r, G.petroMag_i, G.petroMag_z,                      G.petroMagErr_u, G.petroMagErr_g, G.petroMagErr_r, G.petroMagErr_i, G.petroMagErr_z,       ph.z,G.petroR9#_r,G.petroR5#_r                                                                    from                                                                                              Galaxy as G, dbo.fGetNearbyObjEq(#,#,#) as N, photoz as ph                       where                                                                                             G.objID = N.objID and                                                                      ph.objID = N.objID and                                                                     ph.z># and                                                                                ph.z<#"
2019-11-30 09:41:00,2
2019-11-30 09:42:00,13
2019-11-30 09:43:00,13
2019-11-30 09:44:00,12
2019-11-30 09:45:00,13
2019-11-30 09:46:00,13
2019-11-30 09:47:00,14
2019-11-30 09:48:00,13
2019-11-30 09:49:00,13
2019-11-30 09:50:00,9
2019-11-30 09:51:00,10
2019-11-30 09:52:00,13
2019-11-30 09:53:00,13
2019-11-30 09:54:00,13
2019-11-30 09:55:00,12
2019-11-30 09:56:00,14
2019-11-30 09:57:00,14
2019-11-30 09:58:00,9
2019-11-30 09:59:00,10
2019-11-30 10:00:00,12
2019-11-30 10:01:00,11
2019-11-30 10:02:00,12
2019-11-30 10:03:00,13
2019-11-30 10:04:00,13
2019-11-30 10:05:00,14
2019-11-30 10:06:00,14
2019-11-30 10:07:00,12
2019-11-30 10:08:00,13
2019-11-30 10:09:00,11
2019-11-30 10:10:00,11
2019-11-30 10:11:00,13
2019-11-30 10:12:00,13
2019-11-30 10:13:00,13
2019-11-30 10:14:00,13
2019-11-30 10:15:00,12
2019-11-30 10:16:00,10
2019-11-30 10:17:00,13
2019-11-30 10:18:00,14
2019-11-30 10:19:00,12
2019-11-30 10:20:00,12
2019-11-30 10:21:00,11
2019-11-30 10:22:00,13
2019-11-30 10:23:00,12
2019-11-30 10:24:00,12
2019-11-30 10:25:00,15
2019-11-30 10:26:00,13
2019-11-30 10:27:00,13
2019-11-30 10:28:00,12
2019-11-30 10:29:00,12
2019-11-30 10:30:00,12
2019-11-30 10:31:00,14
2019-11-30 10:32:00,11
2019-11-30 10:33:00,11
2019-11-30 10:34:00,14
2019-11-30 10:35:00,13
2019-11-30 10:36:00,14
2019-11-30 10:37:00,13
2019-11-30 10:38:00,12
2019-11-30 10:39:00,12
2019-11-30 10:40:00,13
2019-11-30 10:41:00,12
2019-11-30 10:42:00,13
2019-11-30 10:43:00,14
2019-11-30 10:44:00,12
2019-11-30 10:45:00,14
2019-11-30 10:46:00,13
2019-11-30 10:47:00,13
2019-11-30 10:48:00,13
2019-11-30 10:49:00,10
2019-11-30 10:50:00,12
2019-11-30 10:51:00,15
2019-11-30 10:52:00,13
2019-11-30 10:53:00,13
2019-11-30 10:54:00,13
2019-11-30 10:55:00,13
2019-11-30 10:56:00,13
2019-11-30 10:57:00,12
2019-11-30 10:58:00,11
2019-11-30 10:59:00,12
2019-11-30 11:00:00,12
2019-11-30 11:01:00,13
2019-11-30 11:02:00,13
2019-11-30 11:03:00,13
2019-11-30 11:04:00,11
2019-11-30 11:05:00,11
2019-11-30 11:06:00,11
2019-11-30 11:07:00,10
2019-11-30 11:08:00,12
2019-11-30 11:09:00,13
2019-11-30 11:10:00,13
2019-11-30 11:11:00,10
2019-11-30 11:12:00,14
2019-11-30 11:13:00,12
2019-11-30 11:14:00,14
2019-11-30 11:15:00,11
2019-11-30 11:16:00,12
2019-11-30 11:17:00,12
2019-11-30 11:18:00,12
2019-11-30 11:19:00,11
2019-11-30 11:20:00,13
2019-11-30 11:21:00,13
2019-11-30 11:22:00,11
2019-11-30 11:23:00,11
2019-11-30 11:24:00,12
2019-11-30 11:25:00,13
2019-11-30 11:26:00,12
2019-11-30 11:27:00,10
2019-11-30 11:28:00,13
2019-11-30 11:29:00,12
2019-11-30 11:30:00,10
2019-11-30 11:31:00,11
2019-11-30 11:32:00,11
2019-11-30 11:33:00,11
2019-11-30 11:34:00,12
2019-11-30 11:35:00,12
2019-11-30 11:36:00,11
2019-11-30 11:37:00,10
2019-11-30 11:38:00,14
2019-11-30 11:39:00,12
2019-11-30 11:40:00,11
2019-11-30 11:41:00,12
2019-11-30 11:42:00,10
2019-11-30 11:43:00,11
2019-11-30 11:44:00,12
2019-11-30 11:45:00,11
2019-11-30 11:46:00,13
2019-11-30 11:47:00,12
2019-11-30 11:48:00,12
2019-11-30 11:49:00,12
2019-11-30 11:50:00,11
2019-11-30 11:51:00,11
2019-11-30 11:52:00,11
2019-11-30 11:53:00,9
2019-11-30 11:54:00,13
2019-11-30 11:55:00,12
2019-11-30 11:56:00,12
2019-11-30 11:57:00,14
2019-11-30 11:58:00,13
2019-11-30 11:59:00,11
2019-11-30 12:00:00,11
2019-11-30 12:01:00,6
