3,"INSERT INTO [ASSETS] VALUES(#, &&&, NULL, &&&, NULL, NULL, NULL, NULL, NULL, NULL, NULL, &&&, NULL, &&&, &&&, NULL, NULL, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, #, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, #, &&&, geography::STPointFromText(&&&, #) )"
2019-11-30 15:04:00,2
2019-11-30 15:06:00,1
