359,select * from wise_xmatch x join wise_allsky a on x.wise_cntr=a.cntr where x.sdss_objid=#
2019-11-30 02:58:00,1
2019-11-30 11:18:00,1
2019-11-30 13:08:00,1
2019-11-30 14:12:00,1
2019-11-30 16:44:00,1
2019-11-30 17:32:00,17
2019-11-30 17:33:00,9
2019-11-30 18:09:00,1
2019-11-30 20:15:00,1
2019-11-30 21:13:00,1
2019-11-30 21:14:00,5
2019-11-30 21:15:00,5
2019-11-30 21:16:00,7
2019-11-30 21:17:00,6
2019-11-30 21:18:00,7
2019-11-30 21:19:00,8
2019-11-30 21:20:00,6
2019-11-30 21:21:00,7
2019-11-30 21:22:00,7
2019-11-30 21:23:00,6
2019-11-30 21:24:00,8
2019-11-30 21:25:00,8
2019-11-30 21:26:00,4
2019-11-30 21:27:00,8
2019-11-30 21:28:00,6
2019-11-30 21:29:00,8
2019-11-30 21:30:00,6
2019-11-30 21:31:00,7
2019-11-30 21:32:00,7
2019-11-30 21:33:00,5
2019-11-30 21:34:00,6
2019-11-30 21:35:00,7
2019-11-30 21:36:00,7
2019-11-30 21:37:00,7
2019-11-30 21:38:00,7
2019-11-30 21:39:00,8
2019-11-30 21:40:00,8
2019-11-30 21:41:00,7
2019-11-30 21:42:00,8
2019-11-30 21:43:00,6
2019-11-30 21:44:00,9
2019-11-30 21:45:00,7
2019-11-30 21:46:00,6
2019-11-30 21:47:00,7
2019-11-30 21:48:00,8
2019-11-30 21:49:00,9
2019-11-30 21:50:00,8
2019-11-30 21:51:00,8
2019-11-30 21:52:00,8
2019-11-30 21:53:00,7
2019-11-30 21:54:00,7
2019-11-30 21:55:00,9
2019-11-30 21:56:00,6
2019-11-30 21:57:00,7
2019-11-30 21:58:00,8
2019-11-30 21:59:00,9
