13,"INSERT INTO [ASSETS] VALUES(#, &&&, NULL, &&&, #, NULL, NULL, &&&, &&&, #, NULL, &&&, &&&, &&&, &&&, NULL, NULL, &&&, &&&, &&&, &&&, &&&, NULL, NULL, NULL, &&&, #, #, #, NULL, #, #, &&&, &&&, NULL, NULL, &&&, &&&, &&&, NULL, &&&, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, #, &&&, geography::STPointFromText(&&&, #) )"
2019-11-30 11:50:00,1
2019-11-30 12:02:00,2
2019-11-30 12:03:00,1
2019-11-30 12:05:00,2
2019-11-30 14:07:00,1
2019-11-30 14:44:00,1
2019-11-30 14:56:00,1
2019-11-30 14:57:00,2
2019-11-30 14:59:00,1
2019-11-30 15:00:00,1
