27,"INSERT INTO [ASSETS] VALUES(#, &&&, NULL, &&&, #, NULL, NULL, &&&, &&&, #, NULL, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, &&&, NULL, NULL, NULL, &&&, #, #, #, NULL, #, #, &&&, &&&, NULL, NULL, &&&, &&&, &&&, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, #, &&&, geography::STPointFromText(&&&, #) )"
2019-11-30 11:51:00,1
2019-11-30 11:53:00,1
2019-11-30 11:54:00,2
2019-11-30 12:01:00,4
2019-11-30 12:04:00,2
2019-11-30 12:05:00,2
2019-11-30 12:06:00,1
2019-11-30 14:09:00,1
2019-11-30 14:46:00,1
2019-11-30 14:48:00,1
2019-11-30 14:49:00,2
2019-11-30 14:55:00,1
2019-11-30 14:56:00,3
2019-11-30 14:58:00,2
2019-11-30 14:59:00,2
2019-11-30 15:00:00,1
