9979,"SELECT sp.objid,sp.ra,sp.dec, sp.class, sp.z as redshift, ISNULL(m.k,#) as k , sp.dered_r FROM SpecPhoto AS sp JOIN apogeeOBJECT AS m ON sp.dec = m.dec WHERE sp.z ># AND sp.z < # AND sp.class = GALAXY&&&"
2019-11-30 03:29:00,1
2019-11-30 03:30:00,18
2019-11-30 03:31:00,54
2019-11-30 03:32:00,42
2019-11-30 03:33:00,44
2019-11-30 03:34:00,56
2019-11-30 03:35:00,62
2019-11-30 03:36:00,112
2019-11-30 03:37:00,109
2019-11-30 03:38:00,41
2019-11-30 03:39:00,30
2019-11-30 03:40:00,29
2019-11-30 03:41:00,28
2019-11-30 03:42:00,29
2019-11-30 03:43:00,30
2019-11-30 03:44:00,29
2019-11-30 03:45:00,29
2019-11-30 03:46:00,32
2019-11-30 03:47:00,36
2019-11-30 06:57:00,8
2019-11-30 06:58:00,3
2019-11-30 06:59:00,56
2019-11-30 07:00:00,56
2019-11-30 07:01:00,35
2019-11-30 07:02:00,34
2019-11-30 07:03:00,36
2019-11-30 07:04:00,33
2019-11-30 07:05:00,35
2019-11-30 07:06:00,31
2019-11-30 07:07:00,79
2019-11-30 07:08:00,83
2019-11-30 07:09:00,84
2019-11-30 07:10:00,50
2019-11-30 19:06:00,31
2019-11-30 19:07:00,58
2019-11-30 19:08:00,49
2019-11-30 19:09:00,34
2019-11-30 19:10:00,36
2019-11-30 19:11:00,35
2019-11-30 19:12:00,34
2019-11-30 19:13:00,34
2019-11-30 19:14:00,63
2019-11-30 19:15:00,85
2019-11-30 19:16:00,85
2019-11-30 19:17:00,84
2019-11-30 19:18:00,76
2019-11-30 19:19:00,72
2019-11-30 19:20:00,74
2019-11-30 19:21:00,89
2019-11-30 19:22:00,89
2019-11-30 19:23:00,72
2019-11-30 19:24:00,87
2019-11-30 19:25:00,96
2019-11-30 19:26:00,94
2019-11-30 19:27:00,85
2019-11-30 19:28:00,47
2019-11-30 19:29:00,37
2019-11-30 19:30:00,35
2019-11-30 19:31:00,68
2019-11-30 19:32:00,91
2019-11-30 19:33:00,92
2019-11-30 19:34:00,95
2019-11-30 19:35:00,87
2019-11-30 19:36:00,80
2019-11-30 19:37:00,72
2019-11-30 19:38:00,70
2019-11-30 19:39:00,52
2019-11-30 19:40:00,17
2019-11-30 19:41:00,16
2019-11-30 19:42:00,33
2019-11-30 19:43:00,62
2019-11-30 19:44:00,72
2019-11-30 19:45:00,69
2019-11-30 19:46:00,75
2019-11-30 19:47:00,69
2019-11-30 19:48:00,59
2019-11-30 19:49:00,58
2019-11-30 19:50:00,59
2019-11-30 19:51:00,59
2019-11-30 19:52:00,35
2019-11-30 19:53:00,36
2019-11-30 19:54:00,35
2019-11-30 19:55:00,65
2019-11-30 19:56:00,75
2019-11-30 19:57:00,95
2019-11-30 19:58:00,97
2019-11-30 19:59:00,72
2019-11-30 20:00:00,36
2019-11-30 20:01:00,32
2019-11-30 20:02:00,57
2019-11-30 20:03:00,81
2019-11-30 20:04:00,86
2019-11-30 20:05:00,93
2019-11-30 20:06:00,97
2019-11-30 20:07:00,94
2019-11-30 20:08:00,97
2019-11-30 20:09:00,95
2019-11-30 20:10:00,95
2019-11-30 20:11:00,96
2019-11-30 20:12:00,98
2019-11-30 20:13:00,99
2019-11-30 20:14:00,101
2019-11-30 20:15:00,99
2019-11-30 20:16:00,101
2019-11-30 20:17:00,109
2019-11-30 20:18:00,111
2019-11-30 20:19:00,50
2019-11-30 20:20:00,23
2019-11-30 20:21:00,22
2019-11-30 20:22:00,25
2019-11-30 20:23:00,34
2019-11-30 20:24:00,33
2019-11-30 20:25:00,36
2019-11-30 20:26:00,33
2019-11-30 20:27:00,36
2019-11-30 20:28:00,42
2019-11-30 20:29:00,85
2019-11-30 20:30:00,83
2019-11-30 20:31:00,83
2019-11-30 20:32:00,80
2019-11-30 20:33:00,74
2019-11-30 20:34:00,74
2019-11-30 20:35:00,79
2019-11-30 20:36:00,89
2019-11-30 20:37:00,93
2019-11-30 20:38:00,94
2019-11-30 20:39:00,79
2019-11-30 20:40:00,56
2019-11-30 20:41:00,47
2019-11-30 20:42:00,36
2019-11-30 20:43:00,93
2019-11-30 20:44:00,96
2019-11-30 20:45:00,94
2019-11-30 20:46:00,97
2019-11-30 20:47:00,102
2019-11-30 20:48:00,112
2019-11-30 20:49:00,67
2019-11-30 20:50:00,19
2019-11-30 20:51:00,18
2019-11-30 20:52:00,44
2019-11-30 20:53:00,68
2019-11-30 20:54:00,70
2019-11-30 20:55:00,67
2019-11-30 20:56:00,75
2019-11-30 20:57:00,70
2019-11-30 20:58:00,74
2019-11-30 20:59:00,35
2019-11-30 21:00:00,26
2019-11-30 21:01:00,23
2019-11-30 21:02:00,49
2019-11-30 21:03:00,57
2019-11-30 21:04:00,59
2019-11-30 21:05:00,55
2019-11-30 21:06:00,59
2019-11-30 21:07:00,41
2019-11-30 21:08:00,35
2019-11-30 21:09:00,34
2019-11-30 21:10:00,46
2019-11-30 21:11:00,49
2019-11-30 21:12:00,65
2019-11-30 21:13:00,70
2019-11-30 21:14:00,71
2019-11-30 21:15:00,52
2019-11-30 21:16:00,18
2019-11-30 21:17:00,20
2019-11-30 21:18:00,6
