14,"INSERT INTO [ASSETS] VALUES(#, &&&, NULL, &&&, #, NULL, NULL, &&&, &&&, #, NULL, &&&, &&&, &&&, &&&, NULL, NULL, &&&, &&&, &&&, &&&, &&&, NULL, NULL, NULL, &&&, #, #, NULL, NULL, #, NULL, &&&, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, #, &&&, geography::STPointFromText(&&&, #) )"
2019-11-30 11:50:00,1
2019-11-30 11:52:00,1
2019-11-30 11:53:00,1
2019-11-30 11:54:00,1
2019-11-30 11:59:00,1
2019-11-30 12:03:00,1
2019-11-30 14:08:00,1
2019-11-30 14:09:00,1
2019-11-30 14:45:00,1
2019-11-30 14:46:00,1
2019-11-30 14:48:00,1
2019-11-30 14:49:00,1
2019-11-30 14:54:00,1
2019-11-30 14:57:00,1
