2,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  WHERE s.z > # AND s.zWarning = # AND s.z < # AND (s.primTarget & (dbo.fPrimTarget(&&&)) > #)"
2019-05-03 03:04:00,1
2019-05-03 04:02:00,1
