331,"SELECT DISTINCT p.mode, p.clean, p.type, p.type_i, p.ra, p.dec, p.petroRad_i, p.deVRad_i, p.deVAB_i, p.deVPhi_i, p.expRad_i, p.expAB_i, p.expPhi_i, p.lnLExp_i, p.lnLDeV_i, psfMag_i FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-03 00:00:00,4
2019-05-03 00:01:00,3
2019-05-03 00:02:00,3
2019-05-03 00:03:00,3
2019-05-03 00:04:00,3
2019-05-03 00:05:00,2
2019-05-03 00:06:00,4
2019-05-03 00:07:00,3
2019-05-03 00:08:00,4
2019-05-03 00:09:00,3
2019-05-03 00:10:00,3
2019-05-03 00:11:00,3
2019-05-03 00:12:00,3
2019-05-03 00:13:00,4
2019-05-03 00:14:00,3
2019-05-03 00:15:00,4
2019-05-03 00:16:00,3
2019-05-03 00:17:00,3
2019-05-03 00:18:00,3
2019-05-03 00:19:00,4
2019-05-03 00:20:00,3
2019-05-03 00:21:00,3
2019-05-03 00:22:00,3
2019-05-03 00:23:00,4
2019-05-03 00:24:00,3
2019-05-03 00:25:00,3
2019-05-03 00:26:00,4
2019-05-03 00:27:00,3
2019-05-03 00:28:00,3
2019-05-03 00:29:00,3
2019-05-03 00:30:00,4
2019-05-03 00:31:00,3
2019-05-03 00:32:00,3
2019-05-03 00:33:00,4
2019-05-03 00:34:00,3
2019-05-03 00:35:00,3
2019-05-03 00:36:00,3
2019-05-03 00:37:00,3
2019-05-03 00:38:00,3
2019-05-03 00:39:00,3
2019-05-03 00:40:00,4
2019-05-03 00:41:00,3
2019-05-03 00:42:00,3
2019-05-03 00:43:00,3
2019-05-03 00:44:00,3
2019-05-03 00:45:00,3
2019-05-03 00:46:00,2
2019-05-03 00:47:00,2
2019-05-03 00:48:00,3
2019-05-03 00:49:00,3
2019-05-03 00:50:00,3
2019-05-03 00:51:00,3
2019-05-03 00:52:00,3
2019-05-03 00:53:00,3
2019-05-03 00:54:00,3
2019-05-03 00:55:00,4
2019-05-03 00:56:00,2
2019-05-03 00:57:00,4
2019-05-03 00:58:00,3
2019-05-03 00:59:00,3
2019-05-03 01:00:00,3
2019-05-03 01:01:00,3
2019-05-03 01:02:00,3
2019-05-03 01:03:00,3
2019-05-03 01:04:00,2
2019-05-03 01:05:00,3
2019-05-03 01:06:00,3
2019-05-03 01:07:00,3
2019-05-03 01:08:00,3
2019-05-03 01:09:00,3
2019-05-03 01:10:00,3
2019-05-03 01:11:00,3
2019-05-03 01:12:00,4
2019-05-03 01:13:00,3
2019-05-03 01:14:00,3
2019-05-03 01:15:00,1
2019-05-03 01:16:00,3
2019-05-03 01:17:00,3
2019-05-03 01:18:00,2
2019-05-03 01:19:00,3
2019-05-03 01:20:00,3
2019-05-03 01:21:00,3
2019-05-03 01:22:00,2
2019-05-03 01:23:00,3
2019-05-03 01:24:00,3
2019-05-03 01:25:00,2
2019-05-03 01:26:00,3
2019-05-03 01:27:00,3
2019-05-03 01:28:00,3
2019-05-03 01:29:00,3
2019-05-03 01:30:00,3
2019-05-03 01:31:00,2
2019-05-03 01:36:00,2
2019-05-03 01:37:00,3
2019-05-03 01:38:00,2
2019-05-03 01:39:00,1
2019-05-03 01:40:00,2
2019-05-03 01:41:00,1
2019-05-03 01:42:00,1
2019-05-03 01:43:00,1
2019-05-03 01:44:00,2
2019-05-03 01:45:00,3
2019-05-03 01:46:00,2
2019-05-03 01:47:00,1
2019-05-03 01:48:00,3
2019-05-03 01:49:00,2
2019-05-03 01:50:00,2
2019-05-03 01:51:00,1
2019-05-03 01:52:00,2
2019-05-03 01:53:00,3
2019-05-03 01:54:00,1
2019-05-03 01:55:00,1
2019-05-03 01:57:00,1
2019-05-03 01:58:00,3
2019-05-03 01:59:00,3
2019-05-03 02:00:00,2
2019-05-03 02:01:00,1
2019-05-03 02:18:00,1
2019-05-03 02:20:00,1
2019-05-03 02:21:00,1
2019-05-03 02:22:00,3
