3434,"SELECT ALL  p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,p.type,   p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z,  p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z,   p.deVRad_u, p.deVRad_g, p.deVRad_r, p.deVRad_i, p.deVRad_z,  p.deVAB_u, p.deVAB_g, p.deVAB_r, p.deVAB_i, p.deVAB_z,  p.deVPhi_u, p.deVPhi_g, p.deVPhi_r, p.deVPhi_i, p.deVPhi_z,   p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z,  p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z,  p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z  FROM PhotoObj AS p  WHERE  p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #  AND p.type = #  ORDER by p.r"
2019-05-03 10:01:00,13
2019-05-03 10:02:00,12
2019-05-03 10:03:00,12
2019-05-03 10:04:00,14
2019-05-03 10:05:00,13
2019-05-03 10:06:00,12
2019-05-03 10:07:00,11
2019-05-03 10:08:00,15
2019-05-03 10:09:00,13
2019-05-03 10:10:00,11
2019-05-03 10:11:00,13
2019-05-03 10:12:00,12
2019-05-03 10:13:00,11
2019-05-03 10:14:00,11
2019-05-03 10:15:00,10
2019-05-03 10:16:00,12
2019-05-03 10:17:00,12
2019-05-03 10:18:00,14
2019-05-03 10:19:00,13
2019-05-03 10:20:00,13
2019-05-03 10:21:00,12
2019-05-03 10:22:00,13
2019-05-03 10:23:00,13
2019-05-03 10:24:00,13
2019-05-03 10:25:00,13
2019-05-03 10:26:00,8
2019-05-03 10:27:00,11
2019-05-03 10:28:00,14
2019-05-03 10:29:00,12
2019-05-03 10:30:00,14
2019-05-03 10:31:00,13
2019-05-03 10:32:00,11
2019-05-03 10:33:00,14
2019-05-03 10:34:00,13
2019-05-03 10:35:00,14
2019-05-03 10:36:00,15
2019-05-03 10:37:00,14
2019-05-03 10:38:00,13
2019-05-03 10:39:00,13
2019-05-03 10:40:00,13
2019-05-03 10:41:00,12
2019-05-03 10:42:00,13
2019-05-03 10:43:00,14
2019-05-03 10:44:00,12
2019-05-03 10:45:00,11
2019-05-03 10:46:00,13
2019-05-03 10:47:00,13
2019-05-03 10:48:00,11
2019-05-03 10:49:00,14
2019-05-03 10:50:00,12
2019-05-03 10:51:00,13
2019-05-03 10:52:00,13
2019-05-03 10:53:00,10
2019-05-03 10:54:00,14
2019-05-03 10:55:00,14
2019-05-03 10:56:00,14
2019-05-03 10:57:00,12
2019-05-03 10:58:00,15
2019-05-03 10:59:00,10
2019-05-03 11:00:00,14
2019-05-03 11:01:00,9
2019-05-03 11:02:00,15
2019-05-03 11:03:00,10
2019-05-03 11:04:00,14
2019-05-03 11:05:00,11
2019-05-03 11:06:00,13
2019-05-03 11:07:00,13
2019-05-03 11:08:00,11
2019-05-03 11:09:00,14
2019-05-03 11:10:00,13
2019-05-03 11:11:00,15
2019-05-03 11:12:00,14
2019-05-03 11:13:00,12
2019-05-03 11:14:00,12
2019-05-03 11:15:00,9
2019-05-03 11:16:00,11
2019-05-03 11:17:00,13
2019-05-03 11:18:00,13
2019-05-03 11:19:00,10
2019-05-03 11:20:00,13
2019-05-03 11:21:00,12
2019-05-03 11:22:00,11
2019-05-03 11:23:00,14
2019-05-03 11:24:00,12
2019-05-03 11:25:00,13
2019-05-03 11:26:00,13
2019-05-03 11:27:00,14
2019-05-03 11:28:00,14
2019-05-03 11:29:00,12
2019-05-03 11:30:00,14
2019-05-03 11:31:00,13
2019-05-03 11:32:00,12
2019-05-03 11:33:00,11
2019-05-03 11:34:00,14
2019-05-03 11:35:00,13
2019-05-03 11:36:00,12
2019-05-03 11:37:00,13
2019-05-03 11:38:00,12
2019-05-03 11:39:00,13
2019-05-03 11:40:00,11
2019-05-03 11:41:00,14
2019-05-03 11:42:00,12
2019-05-03 11:43:00,13
2019-05-03 11:44:00,14
2019-05-03 11:45:00,13
2019-05-03 11:46:00,13
2019-05-03 11:47:00,13
2019-05-03 11:48:00,13
2019-05-03 11:49:00,13
2019-05-03 11:50:00,10
2019-05-03 11:51:00,13
2019-05-03 11:52:00,13
2019-05-03 11:53:00,13
2019-05-03 11:54:00,12
2019-05-03 11:55:00,11
2019-05-03 11:56:00,13
2019-05-03 11:57:00,10
2019-05-03 11:58:00,14
2019-05-03 11:59:00,12
2019-05-03 12:00:00,12
2019-05-03 12:01:00,13
2019-05-03 12:02:00,12
2019-05-03 12:03:00,12
2019-05-03 12:04:00,12
2019-05-03 12:05:00,11
2019-05-03 12:06:00,12
2019-05-03 12:07:00,13
2019-05-03 12:08:00,12
2019-05-03 12:09:00,14
2019-05-03 12:10:00,14
2019-05-03 12:11:00,14
2019-05-03 12:12:00,13
2019-05-03 12:13:00,14
2019-05-03 12:14:00,13
2019-05-03 12:15:00,13
2019-05-03 12:16:00,11
2019-05-03 12:17:00,13
2019-05-03 12:18:00,11
2019-05-03 12:19:00,12
2019-05-03 12:20:00,12
2019-05-03 12:21:00,11
2019-05-03 12:22:00,13
2019-05-03 12:23:00,13
2019-05-03 12:24:00,13
2019-05-03 12:25:00,10
2019-05-03 12:26:00,11
2019-05-03 12:27:00,14
2019-05-03 12:28:00,13
2019-05-03 12:29:00,14
2019-05-03 12:30:00,13
2019-05-03 12:31:00,14
2019-05-03 12:32:00,11
2019-05-03 12:33:00,10
2019-05-03 12:34:00,16
2019-05-03 12:35:00,14
2019-05-03 12:36:00,12
2019-05-03 12:37:00,11
2019-05-03 12:38:00,11
2019-05-03 12:39:00,12
2019-05-03 12:40:00,13
2019-05-03 12:41:00,13
2019-05-03 12:42:00,13
2019-05-03 12:43:00,14
2019-05-03 12:44:00,12
2019-05-03 12:45:00,12
2019-05-03 12:46:00,11
2019-05-03 12:47:00,12
2019-05-03 12:48:00,13
2019-05-03 12:49:00,14
2019-05-03 12:50:00,15
2019-05-03 12:51:00,13
2019-05-03 12:52:00,13
2019-05-03 12:53:00,13
2019-05-03 12:54:00,15
2019-05-03 12:55:00,11
2019-05-03 12:56:00,15
2019-05-03 12:57:00,14
2019-05-03 12:58:00,14
2019-05-03 12:59:00,11
2019-05-03 13:00:00,13
2019-05-03 13:01:00,13
2019-05-03 13:02:00,16
2019-05-03 13:03:00,17
2019-05-03 13:04:00,14
2019-05-03 13:05:00,12
2019-05-03 13:06:00,12
2019-05-03 13:07:00,15
2019-05-03 13:08:00,14
2019-05-03 13:09:00,11
2019-05-03 13:10:00,12
2019-05-03 13:11:00,6
