103,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-05-03 00:04:00,2
2019-05-03 00:14:00,2
2019-05-03 00:15:00,1
2019-05-03 00:16:00,1
2019-05-03 00:17:00,2
2019-05-03 00:19:00,2
2019-05-03 00:21:00,2
2019-05-03 00:23:00,2
2019-05-03 00:25:00,2
2019-05-03 00:26:00,1
2019-05-03 00:27:00,1
2019-05-03 00:28:00,2
2019-05-03 00:30:00,2
2019-05-03 00:32:00,2
2019-05-03 00:34:00,2
2019-05-03 00:36:00,2
2019-05-03 00:38:00,2
2019-05-03 00:39:00,1
2019-05-03 00:40:00,1
2019-05-03 00:41:00,1
2019-05-03 00:42:00,1
2019-05-03 00:43:00,1
2019-05-03 00:44:00,1
2019-05-03 00:45:00,1
2019-05-03 00:46:00,1
2019-05-03 00:48:00,2
2019-05-03 00:50:00,2
2019-05-03 00:52:00,2
2019-05-03 00:54:00,2
2019-05-03 00:56:00,2
2019-05-03 00:58:00,2
2019-05-03 01:00:00,2
2019-05-03 01:02:00,2
2019-05-03 01:03:00,1
2019-05-03 01:04:00,1
2019-05-03 01:06:00,2
2019-05-03 01:08:00,2
2019-05-03 01:10:00,2
2019-05-03 01:11:00,1
2019-05-03 01:12:00,1
2019-05-03 01:13:00,1
2019-05-03 01:14:00,1
2019-05-03 01:16:00,2
2019-05-03 01:18:00,2
2019-05-03 01:20:00,2
2019-05-03 01:22:00,2
2019-05-03 01:24:00,2
2019-05-03 01:27:00,2
2019-05-03 01:28:00,1
2019-05-03 01:29:00,1
2019-05-03 01:30:00,2
2019-05-03 01:37:00,2
2019-05-03 01:40:00,2
2019-05-03 01:44:00,1
2019-05-03 01:45:00,1
2019-05-03 01:48:00,2
2019-05-03 01:50:00,2
2019-05-03 01:53:00,1
2019-05-03 01:54:00,1
2019-05-03 01:58:00,1
2019-05-03 01:59:00,1
2019-05-03 02:01:00,1
2019-05-03 02:17:00,1
2019-05-03 02:22:00,1
2019-05-03 18:24:00,2
2019-05-03 23:07:00,2
