18,"SELECT ra, dec, type, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, modelMagErr_u, modelMagErr_g, modelMagErr_r, modelMagErr_i, modelMagErr_z, psfMag_r, type_r, psfMagErr_r FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-11-16 15:02:00,1
2019-11-16 15:06:00,1
2019-11-16 15:11:00,2
2019-11-16 15:12:00,1
2019-11-16 15:51:00,2
2019-11-16 15:54:00,1
2019-11-16 15:56:00,1
2019-11-16 15:58:00,1
2019-11-16 16:01:00,1
2019-11-16 16:02:00,1
2019-11-16 16:04:00,2
2019-11-16 16:07:00,2
2019-11-16 16:09:00,1
2019-11-16 16:11:00,1
