294,"SELECT   p.objid,p.ra,p.dec,p.r,   s.specobjid,s.z,   dbo.fSpecZWarningN(s.zWarning) as warning,   s.plate, s.mjd, s.fiberid   FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid   WHERE   p.ra < #+# and p.ra > #-#   AND p.dec < #+# and p.dec > #-#"
2019-11-16 00:01:00,1
2019-11-16 00:05:00,1
2019-11-16 00:06:00,1
2019-11-16 00:14:00,1
2019-11-16 00:29:00,1
2019-11-16 00:40:00,1
2019-11-16 00:49:00,1
2019-11-16 00:57:00,1
2019-11-16 01:03:00,1
2019-11-16 01:06:00,1
2019-11-16 01:09:00,1
2019-11-16 01:11:00,1
2019-11-16 01:19:00,1
2019-11-16 01:29:00,1
2019-11-16 01:33:00,1
2019-11-16 01:35:00,1
2019-11-16 01:37:00,1
2019-11-16 01:40:00,1
2019-11-16 01:59:00,1
2019-11-16 02:01:00,1
2019-11-16 02:04:00,1
2019-11-16 02:07:00,1
2019-11-16 02:08:00,1
2019-11-16 02:09:00,1
2019-11-16 02:11:00,1
2019-11-16 02:17:00,1
2019-11-16 02:19:00,1
2019-11-16 02:22:00,1
2019-11-16 02:31:00,1
2019-11-16 02:35:00,1
2019-11-16 02:36:00,1
2019-11-16 02:41:00,1
2019-11-16 02:44:00,1
2019-11-16 02:55:00,1
2019-11-16 03:00:00,1
2019-11-16 03:02:00,1
2019-11-16 03:10:00,1
2019-11-16 03:30:00,1
2019-11-16 03:31:00,1
2019-11-16 03:32:00,1
2019-11-16 03:41:00,1
2019-11-16 03:43:00,1
2019-11-16 03:45:00,1
2019-11-16 03:48:00,1
2019-11-16 03:49:00,1
2019-11-16 03:53:00,1
2019-11-16 04:02:00,1
2019-11-16 04:12:00,1
2019-11-16 04:18:00,1
2019-11-16 04:22:00,1
2019-11-16 04:26:00,1
2019-11-16 04:28:00,1
2019-11-16 04:30:00,1
2019-11-16 04:33:00,1
2019-11-16 04:35:00,1
2019-11-16 04:39:00,1
2019-11-16 04:44:00,1
2019-11-16 04:49:00,1
2019-11-16 04:59:00,1
2019-11-16 05:08:00,1
2019-11-16 05:10:00,1
2019-11-16 05:12:00,1
2019-11-16 05:20:00,1
2019-11-16 05:26:00,1
2019-11-16 05:58:00,1
2019-11-16 06:01:00,1
2019-11-16 06:03:00,1
2019-11-16 06:06:00,1
2019-11-16 06:08:00,1
2019-11-16 06:10:00,1
2019-11-16 06:15:00,1
2019-11-16 06:21:00,1
2019-11-16 06:24:00,1
2019-11-16 06:29:00,1
2019-11-16 06:30:00,1
2019-11-16 06:38:00,1
2019-11-16 06:40:00,1
2019-11-16 06:49:00,1
2019-11-16 06:51:00,1
2019-11-16 07:05:00,1
2019-11-16 07:06:00,1
2019-11-16 07:10:00,1
2019-11-16 07:15:00,1
2019-11-16 07:20:00,1
