11,"SELECT TOP #    ROW_NUMBER() OVER(ORDER BY s.specobjid ASC) AS Row#,    s.specobjid, s.ra, s.dec, g.oiii_#_flux, g.h_beta_flux, g.h_alpha_flux , g.nii_#_flux, g.sii_#_flux, g.oi_#_flux FROM SpecObjAll AS s    JOIN galSpecLine AS g ON g.specObjID = s.specObjID ORDER BY s.specobjid ASC"
2019-11-16 20:30:00,1
2019-11-16 20:31:00,1
2019-11-16 21:07:00,2
2019-11-16 21:08:00,1
2019-11-16 21:12:00,1
2019-11-16 21:14:00,1
2019-11-16 21:15:00,1
2019-11-16 21:16:00,1
2019-11-16 21:18:00,1
2019-11-16 21:20:00,1
