18,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,    p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z    FROM fGetObjFromRect(#,#,#,#) n,   PhotoPrimary p    WHERE n.objID=p.objID"
2019-11-16 01:30:00,1
2019-11-16 01:31:00,1
2019-11-16 02:16:00,1
2019-11-16 04:43:00,1
2019-11-16 04:44:00,1
2019-11-16 08:09:00,1
2019-11-16 09:44:00,1
2019-11-16 10:24:00,1
2019-11-16 10:46:00,1
2019-11-16 11:08:00,1
2019-11-16 12:11:00,1
2019-11-16 13:07:00,1
2019-11-16 17:13:00,1
2019-11-16 17:18:00,1
2019-11-16 19:41:00,1
2019-11-16 20:40:00,1
2019-11-16 21:20:00,1
2019-11-16 21:58:00,1
