21,"SELECT TOP # fld.run, fld.avg_sky_muJy, fld.runarea AS area, ISNULL(fp.nfirstmatch,#)  FROM (   SELECT run, sum(primaryArea) AS runarea,  #e6*avg(power(cast(#. as float),#*sky_r)) as avg_sky_muJy  FROM Field  GROUP BY run  ) AS fld  LEFT OUTER JOIN (   SELECT p.run, count(*) AS nfirstmatch  FROM FIRST AS fm  INNER JOIN photoprimary as p  ON p.objid=fm.objid  GROUP BY p.run  ) AS fp  ON fld.run=fp.run  ORDER BY fld.run"
2019-11-16 00:09:00,1
2019-11-16 00:11:00,1
2019-11-16 04:08:00,1
2019-11-16 04:11:00,1
2019-11-16 04:16:00,1
2019-11-16 04:25:00,1
2019-11-16 04:37:00,1
2019-11-16 04:39:00,1
2019-11-16 04:42:00,1
2019-11-16 04:43:00,1
2019-11-16 04:48:00,1
2019-11-16 04:57:00,1
2019-11-16 05:14:00,1
2019-11-16 12:09:00,1
2019-11-16 12:14:00,1
2019-11-16 12:23:00,1
2019-11-16 12:40:00,1
2019-11-16 13:38:00,1
2019-11-16 13:41:00,1
2019-11-16 13:43:00,1
2019-11-16 14:59:00,1
