563,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-28 12:33:00,24
2019-05-28 12:34:00,22
2019-05-28 12:35:00,26
2019-05-28 12:36:00,3
2019-05-28 12:37:00,20
2019-05-28 13:03:00,21
2019-05-28 13:06:00,4
2019-05-28 13:07:00,22
2019-05-28 13:23:00,1
2019-05-28 13:24:00,33
2019-05-28 13:29:00,15
2019-05-28 13:30:00,10
2019-05-28 13:31:00,28
2019-05-28 13:33:00,22
2019-05-28 14:20:00,55
2019-05-28 14:21:00,147
2019-05-28 14:22:00,28
2019-05-28 14:34:00,2
2019-05-28 14:35:00,64
2019-05-28 15:26:00,16
