1020,select max(Id) from public.ncarey.FramePathProcessing where Processed = #)
2019-05-28 14:53:00,1
2019-05-28 14:54:00,2
2019-05-28 14:55:00,2
2019-05-28 14:56:00,1
2019-05-28 14:57:00,1
2019-05-28 15:00:00,38
2019-05-28 15:01:00,61
2019-05-28 15:02:00,61
2019-05-28 15:03:00,60
2019-05-28 15:04:00,60
2019-05-28 15:05:00,60
2019-05-28 15:06:00,60
2019-05-28 15:07:00,60
2019-05-28 15:08:00,59
2019-05-28 15:09:00,60
2019-05-28 15:10:00,60
2019-05-28 15:11:00,60
2019-05-28 15:12:00,60
2019-05-28 15:13:00,60
2019-05-28 15:14:00,60
2019-05-28 15:15:00,58
2019-05-28 15:16:00,61
2019-05-28 15:17:00,15
