23,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-05-28 00:19:00,1
2019-05-28 00:23:00,1
2019-05-28 02:47:00,1
2019-05-28 02:49:00,1
2019-05-28 03:03:00,1
2019-05-28 03:28:00,1
2019-05-28 03:30:00,1
2019-05-28 03:54:00,1
2019-05-28 04:45:00,1
2019-05-28 05:01:00,1
2019-05-28 05:52:00,1
2019-05-28 15:52:00,1
2019-05-28 15:53:00,2
2019-05-28 15:54:00,1
2019-05-28 15:56:00,1
2019-05-28 17:30:00,1
2019-05-28 17:40:00,2
2019-05-28 19:15:00,1
2019-05-28 19:42:00,1
2019-05-28 23:22:00,1
2019-05-28 23:58:00,1
