19,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_g <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-05-28 10:09:00,1
2019-05-28 10:46:00,2
2019-05-28 11:40:00,3
2019-05-28 11:42:00,3
2019-05-28 11:43:00,1
2019-05-28 16:16:00,1
2019-05-28 16:32:00,1
2019-05-28 17:59:00,1
2019-05-28 18:12:00,1
2019-05-28 18:25:00,1
2019-05-28 18:32:00,1
2019-05-28 18:45:00,1
2019-05-28 18:57:00,1
2019-05-28 19:59:00,1
