17,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-05-28 10:46:00,3
2019-05-28 11:46:00,5
2019-05-28 16:17:00,1
2019-05-28 16:33:00,1
2019-05-28 18:01:00,1
2019-05-28 18:25:00,1
2019-05-28 18:33:00,1
2019-05-28 18:46:00,1
2019-05-28 18:58:00,1
2019-05-28 20:00:00,1
2019-05-28 20:13:00,1
