12,"select p.ra, p.dec, p.z, p.Err_z from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_z <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-05-28 10:47:00,1
2019-05-28 10:48:00,2
2019-05-28 16:20:00,1
2019-05-28 16:28:00,1
2019-05-28 16:36:00,1
2019-05-28 18:04:00,1
2019-05-28 18:26:00,1
2019-05-28 18:36:00,1
2019-05-28 19:01:00,1
2019-05-28 20:03:00,1
2019-05-28 20:16:00,1
