233,"SELECT s.*,dbo.fDistanceArcMinEq(s.RA+((s.pmra/cos(radians(s.Dec)))/#.)*(s.mjd_f-s.mjd)/#,s.Dec+(s.pmdec/#.)*(s.mjd_f-s.mjd)/#,s.RAJ2#,s.DEJ2#)*#. as Separation from MyDB.gaia_neigh_galex_mjd as s WHERE dbo.fDistanceArcMinEq(s.RA+((s.pmra/cos(radians(s.Dec)))/#.)*(s.mjd_f-s.mjd)/#,s.Dec+(s.pmdec/#.)*(s.mjd_f-s.mjd)/#,s.RAJ2#,s.DEJ2#)*#.<=# -- cone search #/arcsec INTO gaia_X_galex_test1"
2019-05-28 11:16:00,1
2019-05-28 11:22:00,1
2019-05-28 12:06:00,1
2019-05-28 12:08:00,1
2019-05-28 12:10:00,1
2019-05-28 12:11:00,1
2019-05-28 12:13:00,1
2019-05-28 12:15:00,1
2019-05-28 12:17:00,1
2019-05-28 12:18:00,1
2019-05-28 12:20:00,1
2019-05-28 12:22:00,1
2019-05-28 12:23:00,1
2019-05-28 12:25:00,1
2019-05-28 12:27:00,1
2019-05-28 12:28:00,1
2019-05-28 12:30:00,1
2019-05-28 12:32:00,1
2019-05-28 12:33:00,1
2019-05-28 12:35:00,1
2019-05-28 12:36:00,1
2019-05-28 12:38:00,1
2019-05-28 12:40:00,1
2019-05-28 12:41:00,1
2019-05-28 12:43:00,1
2019-05-28 12:45:00,1
2019-05-28 12:46:00,1
2019-05-28 12:48:00,1
2019-05-28 12:50:00,1
2019-05-28 12:51:00,1
2019-05-28 12:53:00,1
2019-05-28 12:55:00,1
2019-05-28 12:56:00,1
2019-05-28 12:58:00,1
2019-05-28 12:59:00,1
2019-05-28 13:01:00,1
2019-05-28 13:02:00,1
2019-05-28 13:04:00,1
2019-05-28 13:05:00,1
2019-05-28 13:07:00,1
2019-05-28 13:09:00,1
2019-05-28 13:10:00,1
2019-05-28 13:12:00,1
2019-05-28 13:13:00,1
2019-05-28 13:15:00,1
2019-05-28 13:17:00,1
2019-05-28 13:18:00,1
2019-05-28 13:20:00,1
2019-05-28 13:21:00,1
2019-05-28 13:23:00,1
2019-05-28 13:24:00,1
2019-05-28 13:26:00,1
2019-05-28 13:27:00,1
2019-05-28 13:29:00,1
2019-05-28 13:31:00,1
2019-05-28 13:32:00,1
2019-05-28 13:34:00,1
2019-05-28 13:36:00,1
2019-05-28 13:37:00,1
2019-05-28 13:39:00,1
2019-05-28 13:40:00,1
2019-05-28 13:42:00,1
2019-05-28 13:43:00,1
2019-05-28 13:45:00,1
2019-05-28 13:47:00,1
2019-05-28 13:48:00,1
2019-05-28 13:50:00,1
2019-05-28 13:51:00,1
2019-05-28 13:53:00,1
2019-05-28 13:54:00,1
2019-05-28 13:56:00,1
2019-05-28 13:58:00,1
2019-05-28 13:59:00,1
2019-05-28 14:01:00,1
2019-05-28 14:02:00,1
2019-05-28 14:04:00,1
2019-05-28 14:05:00,1
2019-05-28 14:07:00,1
2019-05-28 14:09:00,1
2019-05-28 14:10:00,1
2019-05-28 14:12:00,1
2019-05-28 14:13:00,1
2019-05-28 14:15:00,1
2019-05-28 14:16:00,1
2019-05-28 14:18:00,1
2019-05-28 14:19:00,1
2019-05-28 16:15:00,1
2019-05-28 16:17:00,1
2019-05-28 16:18:00,1
2019-05-28 16:20:00,1
2019-05-28 16:22:00,1
2019-05-28 16:23:00,1
2019-05-28 16:25:00,1
2019-05-28 16:27:00,1
2019-05-28 16:28:00,1
2019-05-28 16:30:00,1
2019-05-28 16:31:00,1
2019-05-28 16:33:00,1
2019-05-28 16:35:00,1
2019-05-28 16:36:00,1
