118,"SELECT p.objID,p.ra,p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.clean,p.flags,z.z as photoz,z.zErr as photozErr,s.specObjID as specObjID,s.z_noqso as specz_noqso,s.zErr_noqso as speczErr_noqso,s.zWarning_noqso as speczWarning_noqso,s.class,p.rowv as RowV,p.rowvErr as RowVErr,p.colv as ColV,p.colvErr as ColVErr, dbo.fPhotoFlagsN(p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE ((flags & #)!=#) AND ((flags & #)=#) AND ((flags & #)=#) AND ((flags & #)!=#) AND # <= p.ra and p.ra <= # and # <= p.dec and p.dec <= #"
2019-05-28 03:03:00,1
2019-05-28 03:04:00,1
2019-05-28 03:05:00,9
2019-05-28 03:06:00,3
2019-05-28 03:07:00,3
2019-05-28 03:08:00,5
2019-05-28 03:09:00,4
2019-05-28 03:10:00,6
2019-05-28 03:11:00,4
2019-05-28 03:12:00,3
2019-05-28 03:13:00,1
2019-05-28 03:14:00,2
2019-05-28 03:15:00,3
2019-05-28 03:16:00,3
2019-05-28 03:17:00,1
2019-05-28 03:18:00,2
2019-05-28 03:19:00,5
2019-05-28 03:20:00,4
2019-05-28 03:21:00,4
2019-05-28 03:22:00,4
2019-05-28 03:23:00,5
2019-05-28 03:24:00,2
2019-05-28 03:25:00,1
2019-05-28 03:26:00,2
2019-05-28 03:27:00,4
2019-05-28 03:28:00,5
2019-05-28 03:29:00,1
2019-05-28 03:30:00,1
2019-05-28 03:31:00,1
2019-05-28 03:32:00,3
2019-05-28 03:33:00,6
2019-05-28 03:34:00,1
2019-05-28 03:35:00,2
2019-05-28 03:36:00,4
2019-05-28 03:37:00,1
2019-05-28 03:38:00,1
2019-05-28 03:39:00,1
2019-05-28 03:40:00,1
2019-05-28 03:41:00,1
2019-05-28 03:42:00,2
2019-05-28 03:43:00,1
2019-05-28 03:44:00,3
2019-05-28 03:45:00,1
