52,"SELECT specObjID, dr7ObjID FROM SpecDR7 WHERE specobjid = #"
2019-05-28 16:34:00,1
2019-05-28 16:35:00,2
2019-05-28 16:36:00,3
2019-05-28 16:37:00,3
2019-05-28 16:38:00,3
2019-05-28 16:39:00,2
2019-05-28 16:40:00,2
2019-05-28 16:41:00,1
2019-05-28 18:14:00,2
2019-05-28 18:32:00,2
2019-05-28 18:34:00,1
2019-05-28 18:37:00,1
2019-05-28 18:38:00,1
2019-05-28 18:39:00,2
2019-05-28 18:40:00,1
2019-05-28 18:41:00,1
2019-05-28 18:42:00,1
2019-05-28 18:44:00,1
2019-05-28 18:45:00,1
2019-05-28 18:46:00,2
2019-05-28 18:49:00,1
2019-05-28 21:37:00,1
2019-05-28 21:38:00,1
2019-05-28 21:50:00,1
2019-05-28 21:51:00,1
2019-05-28 22:00:00,1
2019-05-28 22:01:00,2
2019-05-28 22:02:00,1
2019-05-28 22:03:00,1
2019-05-28 23:43:00,2
2019-05-28 23:44:00,1
2019-05-28 23:45:00,1
2019-05-28 23:46:00,1
2019-05-28 23:52:00,2
2019-05-28 23:53:00,1
2019-05-28 23:54:00,1
