15,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-05-28 10:47:00,4
2019-05-28 16:18:00,1
2019-05-28 16:26:00,1
2019-05-28 16:34:00,1
2019-05-28 18:02:00,1
2019-05-28 18:14:00,1
2019-05-28 18:26:00,1
2019-05-28 18:34:00,1
2019-05-28 18:47:00,1
2019-05-28 18:59:00,1
2019-05-28 20:01:00,1
2019-05-28 20:14:00,1
