95,SELECT &&&
2019-05-28 09:15:00,1
2019-05-28 09:20:00,1
2019-05-28 09:24:00,1
2019-05-28 09:30:00,1
2019-05-28 09:52:00,1
2019-05-28 10:12:00,2
2019-05-28 10:14:00,1
2019-05-28 10:15:00,3
2019-05-28 10:16:00,1
2019-05-28 10:17:00,2
2019-05-28 10:18:00,1
2019-05-28 10:19:00,1
2019-05-28 10:20:00,2
2019-05-28 10:21:00,1
2019-05-28 10:28:00,1
2019-05-28 10:29:00,1
2019-05-28 10:30:00,2
2019-05-28 10:31:00,1
2019-05-28 10:36:00,1
2019-05-28 10:37:00,1
2019-05-28 10:38:00,2
2019-05-28 10:40:00,1
2019-05-28 10:43:00,1
2019-05-28 10:44:00,2
2019-05-28 10:45:00,1
2019-05-28 10:48:00,1
2019-05-28 10:50:00,2
2019-05-28 10:51:00,1
2019-05-28 10:52:00,2
2019-05-28 10:53:00,2
2019-05-28 10:54:00,1
2019-05-28 10:55:00,1
2019-05-28 10:56:00,1
2019-05-28 10:57:00,2
2019-05-28 10:58:00,2
2019-05-28 10:59:00,1
2019-05-28 11:00:00,2
2019-05-28 11:01:00,1
2019-05-28 11:05:00,2
2019-05-28 11:06:00,1
2019-05-28 11:07:00,2
2019-05-28 11:08:00,1
2019-05-28 11:09:00,1
2019-05-28 11:10:00,1
2019-05-28 11:11:00,1
2019-05-28 11:12:00,2
2019-05-28 11:13:00,1
2019-05-28 11:14:00,1
2019-05-28 11:15:00,1
2019-05-28 11:16:00,2
2019-05-28 11:17:00,1
2019-05-28 11:18:00,2
2019-05-28 11:19:00,2
2019-05-28 11:20:00,1
2019-05-28 11:21:00,1
2019-05-28 11:30:00,1
2019-05-28 11:31:00,1
2019-05-28 11:32:00,1
2019-05-28 11:34:00,1
2019-05-28 11:48:00,1
2019-05-28 12:28:00,1
2019-05-28 12:36:00,1
2019-05-28 12:51:00,1
2019-05-28 12:56:00,1
2019-05-28 12:59:00,1
2019-05-28 13:03:00,2
2019-05-28 13:04:00,1
2019-05-28 13:06:00,1
2019-05-28 13:18:00,2
2019-05-28 13:21:00,1
2019-05-28 13:22:00,2
2019-05-28 16:34:00,1
